symbol	GSM109814	GSM109815	GSM109816	GSM109817	GSM150196	GSM150197	GSM150198	GSM150199	GSM150201	GSM1256720	GSM1256722	GSM1256723	GSM1256726	GSM1256729	GSM1256731	GSM1256733	GSM1256734	GSM1256739	GSM1256741	GSM1256742	GSM1256744	GSM1256745	GSM1256748	GSM1256753	GSM1256754	GSM1256756	GSM1256759	GSM1256760	GSM1256761	GSM1256762	GSM1256763	GSM1256770	GSM1256771	GSM1256772	GSM1256784	GSM1256785	GSM1256786	GSM1256788	GSM1256793	GSM1256794	GSM1256796	GSM1256798	GSM1256799	GSM1256800
EPO	4.92417835955866	5.36920373163145	5.76970721314178	5.51763058361898	5.08849505858221	5.00480288024926	5.48973740769857	5.80543903938629	5.53835034298129	5.07798519687017	5.03666030433772	4.98046191795283	5.04145880691432	5.09340125322301	4.9913666778111	5.10949174829931	5.16927720371479	6.02520304411425	5.30809970144191	5.64119350701233	5.7038123805885	5.42553077251893	5.41946228469706	5.3148961460501	5.5377105148026	5.91285585188797	5.51885696174882	5.19434246634138	5.46092950720077	5.49111956518595	5.7302764930275	5.31376534092818	5.67308835121653	5.396372565356	5.08605692699884	5.0661204965276	5.16063232557134	5.06789522082717	5.112767849185	5.12219956856846	4.97912371838861	5.024795211949	4.92991456627068	5.0593152313452
HSPG2	8.3940157453526	8.61115371090396	8.40966698683952	8.92752416233051	8.82354638088575	8.5438602930622	8.69381288961863	8.57697658456473	8.97236223478696	7.7424084849772	7.6913165405295	7.8195118264124	7.88939601188932	7.71677188854108	7.85620463518997	7.78790066277881	7.65735921413971	8.84536956717297	8.61701213458871	8.94952090617519	9.21538757887421	8.9373979475583	8.78916317049142	8.65583377754148	8.41130478806344	8.95014696870645	8.60181633547455	9.09099386669538	8.63558226121284	9.04809213619277	8.72725085257738	8.65306006161252	8.56732066173296	8.8417479234972	7.81436682176364	8.05134798873301	8.15538623958314	8.26439162878141	8.15364464525613	8.24039395929324	8.19921197018875	8.14492404211896	8.19781567365308	8.19500165416764
IL13	5.71615987267909	5.96724093554514	6.42317656628271	6.15801042315098	5.78366530260268	5.80134498628261	6.14298555202542	6.41185818307387	6.22371820813953	5.66695500797073	5.75058261241128	5.70803645149039	5.70306155774821	5.72169953410442	5.79151879369944	5.80551792962072	5.58516479093378	6.29081418356491	6.05881855121782	6.25766739563506	6.22874658699367	6.19804355662	6.00966453370486	5.86401742127648	5.98086791911146	6.17761388922466	6.33930179855951	6.09116855413023	6.14472255059243	6.08744368022587	6.29526074878795	6.01101531888126	6.2574678862929	6.22892377170409	5.71383972862382	5.74771872125308	5.75470559525796	5.87449062511154	5.81538529087673	5.89179997028372	5.93793805624061	5.7203711669002	5.96690194070461	5.84377800325094
IL17C	6.97735317571633	7.51268894893291	7.82472553727673	7.42170326290021	7.2381447384508	7.16671901435969	7.69172738179255	7.78659689788381	7.60519081312386	7.23866445269207	7.22835945457086	7.19152827387836	7.09759452024759	7.15040399025919	7.20298445632009	7.15242734651077	7.21193871864224	7.75663786349656	7.40561255448656	7.63642533795222	7.6715884361738	7.83515768281401	7.56653920148721	7.45826614394874	7.35403732306115	7.75717835523944	7.62680332265443	7.60276174700894	7.53716644231127	7.5783635045482	7.64793656238342	7.53254442186622	7.77561279922346	7.59843672704585	7.22423455892389	7.19848319710969	7.18818294049524	7.1953055140329	7.2427939801873	7.1401247427646	7.13031042813899	7.16373140147087	7.14531441956842	7.23290155489664
IL1A	4.45753031087978	3.97957682586289	4.34967571498513	4.05519842011308	4.34008221476296	4.48184363968209	4.2627288975966	4.30627569752122	4.14942534587352	4.30654487769121	4.1576141391487	4.6762250230601	4.0456117816825	3.99311801117385	4.24903078933074	4.06666187948666	4.18279864118668	4.32210461658938	4.26696642249469	4.21447630057444	4.2416322734196	4.57008819875348	4.33960716854	4.14987180156084	4.22519831821882	4.24746994748988	4.38185363351989	4.50853733110792	4.21505168138777	4.48234728307782	4.38262170192472	4.35973578477424	4.3588497701455	4.20775945875112	4.06618529627182	4.10023783811274	4.10250950716602	4.21080497734923	4.07251526708327	4.18229011873841	4.175226611272	4.10885322890226	4.03808300217509	4.14775267576513
LAMA5	8.55425024466093	9.01205611497714	9.02663718073056	9.26355009718424	8.99514695085653	8.77480848826458	9.14947899917248	9.21679055768415	9.46546048071227	8.61288095326385	8.79589851907057	8.65571546816152	8.7721576975203	8.64726901168409	8.37989390620139	8.38331011458356	8.2848750082309	9.7848400638775	9.27840151722455	9.66719240323412	10.0699109191078	10.3385310756739	9.79896218812276	9.57070531418932	9.39307565508712	9.94488773868841	9.34569049204442	10.2027615857437	9.61441044317567	9.94859791763595	9.82780239328232	8.6381121557952	8.53078195114459	8.73286527070349	8.77029098943279	8.98787666684905	8.87055837646184	8.73888213782009	8.85829105028268	8.73127368326661	8.81790782121048	8.54876169587201	8.56990074364145	8.89504314034944
LAMC3	7.04700320723125	7.32059228481117	7.39135594296818	7.41597943184715	7.34253697590691	7.17790835738385	7.33792992056647	7.46748768030878	7.42258723576738	6.87079021734259	6.90663503079245	7.13179958273936	6.7392202171721	6.79933935721617	7.06937420741908	6.75046009097836	6.75562247120327	7.01178501358785	7.04866649339709	7.19359818901891	7.62743509699626	7.79062394674642	7.44578602847013	7.0478653303534	7.04121651603596	7.31098193969096	7.31533148032265	7.5452337014876	7.0392400908846	7.59358774796182	7.26776059594359	7.22331176490609	7.27092530969567	7.17060939562612	6.7528922690591	6.84441404406219	6.92895532213388	7.02072124580749	6.96683925968227	6.77040240190539	7.01327627937292	6.94124838901859	6.70344355470586	6.83833520818665
LTB	7.0354802839492	7.56665100181133	7.1066275060833	7.73147866701118	6.75145559902401	6.98359343608461	7.47016133121541	7.37604724651824	7.71554138082698	6.8999878083253	6.93348218335279	7.18836374028767	6.93161470617806	7.09645870674145	7.31677510772732	6.93488100445315	7.50702475815846	7.83763516276718	7.54772392517976	7.28872110103397	7.99392733235004	7.67361774628944	7.4111891871537	7.17444999569059	7.33252936587405	7.56479502058906	7.51127329580175	8.17823608886041	7.52755559236664	7.61429148032607	7.66292668778666	6.99734848408412	6.9106807166913	7.00827248061745	6.74748808176536	6.7696781782497	7.06566647275454	7.57049836314141	6.82481123066395	6.82394318588358	6.94246790509633	7.16296217414367	6.88485598715395	6.75895415973555
NGF	5.8856796868588	5.98083763327032	6.35463478226112	6.1034147221348	5.70653018256833	5.95391775087805	6.00307573908178	6.34813888368866	6.13384948826906	5.73724335932117	5.72176036661647	5.73768658195578	5.7318016147622	5.71170809798088	5.72179970140189	5.7672245973431	5.84176613929694	6.44999458437152	5.96976483239507	6.16207070271831	6.25786102428165	6.28085628485446	6.01568140808038	5.95343541769671	5.86885186311614	6.29998522363533	6.06061424012119	6.03862560753511	6.04583316313971	6.06401349094199	6.05625247229938	5.8420059353404	6.02883252988551	5.98715124607447	5.71036074273333	5.77881622664287	5.72120423509862	5.86108213475548	5.86533624539607	5.68850762627632	5.73797552996515	5.74109563179091	5.74137827539345	5.71762028254625
PF4	6.49692745412412	6.68257289616896	7.29125215683459	6.63602287892845	6.61424182659209	6.61535667232594	6.80769058763428	7.2289121406724	6.80791787794841	6.37976053921237	6.42051918890465	6.43957238713694	6.34908855115652	6.43799655958578	6.62787853264269	6.5821250170315	6.62184484216659	6.61214331796293	6.49972081394873	6.67576141157135	7.00436993392375	6.66981901790563	6.88847507917689	6.57148199073957	6.53170234056768	6.76747095555827	6.66723189420094	7.32842239375456	6.63415655927014	6.93405704977753	7.68491528097281	6.48736250682705	6.65015529962445	6.44929402483417	6.28478202101728	6.39129667609651	6.53717405308774	6.47310924249612	6.39220825065806	6.38439731701215	6.51615541873709	6.64215537875809	6.29079734931036	6.51058718129241
TGFB1	6.75155101816565	7.09665696574302	7.32037694153591	7.22813181351183	7.01614606668149	6.81905216065164	7.22043534154044	7.32306187057743	7.34119817856507	6.53183850615331	6.48926787145563	6.59580463968689	6.52688617394991	6.66800036050617	6.6042293772414	6.62587743358636	6.59859810366814	7.44689382668715	7.21755788647115	7.30572318792928	7.28676478580242	7.4230672409063	7.24092873463033	7.16022174331535	6.916907193609	7.49988162887732	7.19802571944475	7.31269603871682	7.01502076591844	7.31406439726813	7.36610988321818	6.8066077376373	6.94230065249632	6.86119564107451	6.42480645383052	6.62138632392523	6.55778231382505	6.78211717179607	6.61663817315245	6.54657521685644	6.68685652804193	6.57228635328401	6.63292659228778	6.66428523278088
TNF	6.42474545325568	6.33315059236352	6.70012050610166	6.20839300102461	6.47102657825111	6.46331853492285	6.4054882143301	6.79951142520587	6.36354319672432	6.28504953864319	6.22052151891899	6.3551420902567	6.23327717242572	6.22207284369632	6.31165431301588	6.2296002579238	6.26215597206056	6.38502229945636	6.32859787995508	6.37090277023589	6.47101093442748	6.74297506169	6.50789507465507	6.2738590311331	6.34677118529489	6.52824231380723	6.30522977174536	7.18796468208499	6.28198294904308	6.55578194254961	6.43160722313217	6.34167496055865	6.45918214891068	6.36722746124576	6.25473698753477	6.23509475760506	6.27745232389177	6.43279851882716	6.28039817421579	6.36782024004188	6.29257418550728	6.27332276594793	6.28808981492054	6.25856354690371
TNFSF12	6.72421369539142	6.71931514522486	6.92116841293109	7.31577613370483	6.57133342558661	6.95686843366234	6.85712339689553	7.08472901196447	7.33590488543273	6.5713160879083	6.48087569659257	6.63868243954208	6.50620931646358	6.56665397033385	6.64318067460583	6.5238872771967	6.63978365924616	7.17743834408726	6.89868366469724	6.99530151878395	7.163751203007	7.1013263067034	6.89916461481983	6.89462954811246	6.8741253303193	7.13771584826641	6.91571056179819	6.8124169045173	6.90666906189473	6.97091881763654	6.9800184892302	6.72718098352288	6.69744293309785	6.82776481036002	6.559917293375	6.5537958954535	6.49972898193047	6.80251018576155	6.48396060502124	6.64787862123823	6.50789741815048	6.54743854060274	6.49514274174849	6.51033779868295
TNFSF13	7.24620936986817	7.60218876732196	7.7458061028296	7.57509483871549	7.3527334811893	7.36585582622506	7.65635543438619	7.84113327626441	7.61526167513232	7.19667356829078	7.22808699057057	7.35730239825008	7.20645431366573	7.3216614858506	7.36770508866277	7.26038966229334	7.29131162748016	7.78103729659338	7.58512380955788	7.71680734460268	7.69766218868142	7.83895354253102	7.56643903670859	7.60516890049199	7.51745586389021	7.84732310444817	7.60843814419876	7.57441510952548	7.55889096821282	7.79248856073026	7.83150565993283	7.21609875233954	7.26120625335061	7.11757539044862	7.18401606985171	7.0570268453354	7.1391921603395	7.60634815037787	7.17046186968364	7.16132564690641	7.11040428214305	7.0305275239786	7.04328800184839	7.12774212408109
TNXB	7.19797637917089	7.38403473637652	7.84692153004763	7.61352998137316	7.36636297921039	7.32259269230359	7.49183412306408	7.7840301557399	7.6200529896073	7.23382293097978	7.41207825141159	7.28944255260848	7.37826803821475	7.20634336563394	7.23646067498315	7.27834124662484	7.27012763345862	7.85853888903916	7.58902766747318	7.68545527950884	7.6989383807201	7.51058613332606	7.29554729504717	7.6212849710521	7.47461604028921	7.77449732039713	7.55413964093541	7.51754526337224	7.55589233268845	7.38445374552996	7.61550518055274	7.30616864721547	7.47819129715429	7.47037460997851	7.27950590309225	7.41061416835525	7.2491400786464	7.2728134224313	7.35477039552687	7.39481887235742	7.2780358882428	7.30873770405026	7.35378455163521	7.35087603295475
VEGFB	7.50620010615269	7.74505642294576	7.85097840090827	7.71222683367462	7.37825278921761	7.62183847232684	7.86054927786644	7.86824295402305	8.02385976425532	7.25257357023944	7.24586166657956	7.24403934054283	7.27251629965245	7.20929483121118	7.30227108243292	7.32708164662483	7.40491948894025	8.25298614522683	8.02312441625067	8.12900207205411	8.14562693158912	8.13775699571843	7.78156597761161	8.01859754159898	7.64190045338194	8.18506212424884	7.83116439493851	7.82327485468031	7.6456328071132	7.93386316596118	8.03513080778848	7.3273694845221	7.23838320968803	7.37427190807841	7.00819986119075	7.39490157070758	7.28861519827248	7.30458308010128	7.35167750175114	7.28816851142011	7.28551874920113	7.32610024370911	7.34528484412388	7.3888005313577
