hgnc_symbol	affy_primeview
CCM2	11761353_x_at
CCM2	11761352_a_at
OR7E5P	
OR5F1	11738589_at
OR5F2P	
OR5AQ1P	
CCDC142	11717260_at
CCDC142	11739187_at
CCDC142	11739186_x_at
CCDC142	
OR5J1P	
OR5BE1P	
C12orf75	11722193_a_at
C12orf75	
OR8I4P	
OR5BN2P	
OR8H3	11742597_s_at
OR8H3	11742598_x_at
EFR3A	11739116_s_at
EFR3A	11739117_a_at
EFR3A	
OR5BN1P	
OR8K4P	
PORCN	11726888_a_at
PORCN	
OR8K5	11742630_at
OR5J7P	
OR5J2	11742388_at
OR8V1P	
OR4V1P	
OR4P1P	
OR5D2P	
VN2R9P	
PLIN5	11737160_at
PLIN5	
OR9L1P	
OR9I3P	
OR9I2P	
OR5BL1P	
TTC31	11745776_a_at
TTC31	11751578_a_at
TTC31	11751579_x_at
TTC31	11745777_x_at
TTC31	11752778_a_at
TTC31	11758024_s_at
TTC31	
OR10Q1	11742357_at
MIR6128	
RNU1-19P	
SMIM41	
MMRN2	11739047_a_at
MMRN2	11739046_s_at
MMRN2	11750671_s_at
MMRN2	
KLRC3	11734395_x_at
KLRC3	11734394_at
KLRC3	11738935_a_at
KLRC3	11738936_x_at
SH2D1A	11728293_a_at
SH2D1A	11728292_at
SH2D1A	11728290_a_at
SH2D1A	11728291_at
OR5BB1P	
TNPO3P1	
OR4D8P	
SSU72P1	
OR4D11	11742609_at
OR4D7P	
HTR2C	11748506_a_at
HTR2C	11749126_a_at
HTR2C	11755418_a_at
SNCG	11753754_x_at
SNCG	11753679_x_at
SNCG	11753995_x_at
OR5B1P	
OR5B15P	
ZNF268	11738623_s_at
ZNF268	11750610_x_at
ZNF268	11749645_x_at
ZNF268	11738624_x_at
ZNF268	
OR2AH1P	
TMEM230P2	11730819_s_at
OR8U1	11715136_at
OR8U1	11742376_at
	11739573_s_at
	11739572_x_at
	11746848_x_at
OR5AL2P	
SNRPD2P2	11751824_at
OR5AL1	
OR8U3	11742545_at
NENF	11718662_s_at
NENF	11718661_at
NENF	11718660_a_at
NENF	11757457_x_at
NENF	
OR5M4P	11738729_at
	11742615_at
OR5M9	11742615_at
ADIRF-AS1	
OR5M2P	
HACD4	11759902_at
HACD4	11740750_a_at
HACD4	11745234_a_at
HACD4	
ITGAD	11753005_a_at
ITGAD	11741531_at
ITGAD	
RPL36AP53	
ADIRF	11717306_x_at
ADIRF	11717305_a_at
OR5M7P	11738736_at
SNORA35	11757176_x_at
SNORA35	11757175_at
LRG1	11725368_at
LRG1	11751459_x_at
MIR764	
MIR1912	
MIR1264	
MIR1298	
MIR1911	
HSPA8P7	
MIR448	
OR5M6P	
OR5M5P	
RPS26P57	
	11731943_x_at
	11726199_x_at
	11754504_x_at
	11717305_a_at
TAFAZZIN	
TAFAZZIN	11722978_a_at
PTP4A1P7	
IFNNP1	
	11753665_x_at
	11733856_s_at
	11733857_x_at
IFNB1	11733765_at
LINC01740	
IFNWP4	
	11725671_a_at
TNFAIP8L1	11715103_x_at
TNFAIP8L1	11759187_at
TNFAIP8L1	
IFNW1	11738288_at
IFNA21	11732980_x_at
IFNA21	11732979_at
LBX2	11738214_x_at
LBX2	11750337_a_at
BMS1P3	
SMIM27	
	11762176_at
	11758699_x_at
ERVV-2	
TATDN3	11751584_a_at
TATDN3	11734754_a_at
TATDN3	11734753_at
TATDN3	
AGAP11	11731943_x_at
AGAP11	11726199_x_at
AGAP11	11754504_x_at
PCGF1	
PCGF1	11744520_a_at
FAM25A	11745316_x_at
FAM25A	11758699_x_at
SEC16A	11715699_s_at
SEC16A	11746007_a_at
SEC16A	11754099_a_at
SEC16A	11754100_x_at
SEC16A	11752727_a_at
SEC16A	11762697_at
SEC16A	
GAP43	11740999_a_at
GAP43	11741000_x_at
GAP43	11744158_s_at
GAP43	11754022_s_at
RUVBL2	11746743_a_at
RUVBL2	11756378_x_at
RUVBL2	11730398_a_at
RUVBL2	
RUVBL2	11760563_at
RNU6-529P	
SHLD2	
SHLD2	11726052_s_at
BLM	11756409_a_at
BLM	
OC90	11735671_at
COX6A2	11722364_at
RPL15	11757075_s_at
RPL15	11757889_s_at
RPL15	11752951_x_at
RPL15	11754013_x_at
RPL15	11757782_s_at
RPL15	11761987_at
ZNF843	
ZNF843	11738154_at
RN7SL733P	
	11735671_at
HNRNPA3P4	
RBMXP1	
MYB-AS1	
RAB18	11753494_x_at
RAB18	11751040_a_at
RAB18	11747367_a_at
RAB18	11733781_a_at
RAB18	11753493_a_at
RAB18	11744480_s_at
RAB18	11744479_x_at
RAB18	11733782_x_at
RAB18	
RAB18	11759586_s_at
RAB18	11759585_at
MIR548A2	
CRYGN	11734623_at
CRYGN	
ARMC5	11749653_a_at
ARMC5	11747770_a_at
ARMC5	11748430_x_at
ARMC5	
UTP23	
UTP23	11731502_at
UTP23	11731501_at
TLX2	11740605_x_at
TLX2	
ZNF92	11732320_a_at
ZNF92	
DQX1	11729992_at
DQX1	
AHI1	11726230_s_at
AHI1	11754693_a_at
AHI1	11732950_a_at
AHI1	11727638_a_at
AHI1	
RAD21-AS1	
MIR3610	
AARD	11734444_at
AARD	11734445_at
WDR86	11761812_at
WDR86	11732002_a_at
WDR86	11745368_a_at
WDR86	
RN7SL303P	
RHOBTB2	11720233_a_at
RHOBTB2	11720235_a_at
RHOBTB2	
RHOBTB2	11720234_at
MIR210	
TGFB1I1	
TGFB1I1	11755027_a_at
MIR6798	11760563_at
LHB	11715313_s_at
DYRK2	11724611_a_at
DYRK2	11724612_a_at
DYRK2	11758911_at
DYRK2	11724613_a_at
DYRK2	
	11715180_s_at
	11742400_x_at
	11715317_s_at
	11715111_s_at
	11715282_s_at
	11715138_s_at
AUP1	11756564_a_at
AUP1	11761860_x_at
AUP1	11761859_a_at
NTF6A	
RN7SKP187	
ZNF277-AS1	
NTF6G	
MTND5P8	
NTF6B	
MTND6P24	
MTCYBP24	
CGB5	11715317_s_at
CGB5	11715111_s_at
CGB5	11715282_s_at
CGB5	11715138_s_at
LINC01231	
IFRD1	11748629_a_at
IFRD1	
WASHC4	
WASHC4	11722626_at
WASHC4	11722628_at
WASHC4	11722627_at
RFX3	11744252_at
RFX3	11756407_a_at
RFX3	11734364_at
RFX3	
	11762648_a_at
CNBP	11754039_x_at
CNBP	11727419_x_at
CNBP	11744825_a_at
CNBP	11744487_x_at
CNBP	11754038_a_at
CNBP	11727420_at
RN7SL708P	
SNRNP70	11754463_a_at
SNRNP70	11755283_a_at
SNRNP70	
SNRNP70	11759421_at
TNFRSF10B	11753075_a_at
TNFRSF10B	11719680_x_at
TNFRSF10B	11719681_a_at
TNFRSF10B	
LINC02862	
ATIC	
ATIC	11715755_a_at
ADGRA1	11735301_a_at
ADGRA1	11735302_a_at
RPL23A	11757748_x_at
RPL23A	
XPC	11740553_a_at
XPC	11728207_a_at
XPC	
GPAM	11721707_at
GPAM	11721706_at
GPAM	11758535_s_at
GPAM	11721708_at
GPAM	
HMGN1P4	
TMEM267	11739995_a_at
TMEM267	11750727_a_at
TMEM267	11745946_s_at
TMEM267	11746391_a_at
SELP	11755826_a_at
SELP	
LIN7B	11734594_a_at
LIN7B	
SNORD42B	
SNORD4A	
SNORD42A	
SNORD4B	
TLCD1	11744103_at
TLCD1	
PCDH1	11749105_a_at
PCDH1	11740034_at
PCDH1	11749106_x_at
PCDH1	11719230_at
PCDH1	
KANK1	11758652_s_at
KANK1	11731932_a_at
KANK1	
	11760084_x_at
	11745687_a_at
	11739342_a_at
C19orf73	11725526_at
TNFRSF10C	11739342_a_at
TNFRSF10C	11746957_a_at
TNFRSF10C	11745687_a_at
TNFRSF10C	11760679_at
VN1R6P	11738735_at
ZNF845	11734095_x_at
ZNF845	11749462_x_at
NEK8	
NEK8	11735254_at
NEK8	11735253_a_at
NEK8	11749513_x_at
LSMEM1	
LSMEM1	11730513_a_at
ZNF525	
CLDN11	11747704_a_at
CLDN11	11723225_a_at
CLDN11	
FYB1	11724004_a_at
FYB1	11730374_a_at
FYB1	11724005_s_at
FYB1	11730373_a_at
FYB1	11730372_a_at
FYB1	
TNFRSF10D	11723310_at
TNFRSF10D	11723309_at
NPM1P14	
ZNF765	
ZNF765	11761729_x_at
ZNF765	11732628_x_at
ZNF765	11732629_x_at
ZNF765	11751945_x_at
ZNF765	11732630_a_at
NOS3	11725467_a_at
NOS3	11745591_a_at
NOS3	
TECTB	11738574_at
KANSL2	11756410_a_at
KANSL2	
IGF2BP2	11757763_s_at
IGF2BP2	11741712_a_at
IGF2BP2	
TNFRSF10A	11739654_at
TNFRSF10A	
MIR6715B	
MIR6715A	
GUCY2GP	
SLC5A2	
SLC5A2	11754701_a_at
RPL39P36	
TPM3P9	
RPL31P58	
SLC4A1APP2	
RSL24D1P4	
ZNF813	11741406_s_at
ZNF813	
CAMK1G	11754661_a_at
CAMK1G	11750350_a_at
CAMK1G	
	11764225_at
	11758011_x_at
TPM3P6	
ZEB1	11721545_x_at
ZEB1	11749644_s_at
ZEB1	11749136_x_at
ZEB1	11734686_x_at
ZEB1	11721546_s_at
ZEB1	11758473_s_at
ZEB1	11721547_s_at
ZEB1	
TNFRSF10A-AS1	
RPL23AP55	
TNFRSF10A-DT	
OSTCP3	
RN7SL317P	
RNU6-698P	
CHMP7	11750037_a_at
CHMP7	11716147_s_at
CHMP7	
MIR512-1	
MIR512-2	
MIR1323	
MIR498	
MIR520E	
MIR515-1	
MIR519E	
MIR520F	
MIR515-2	
MIR519C	
MIR1283-1	
MIR520A	
MIR526B	
MIR519B	
MIR525	
MIR523	
MIR518F	
MIR520B	
MIR518B	
SLCO1B3	
SLCO1B3	11732569_at
MIR526A1	
MIR520C	
MIR518C	
MIR524	
MIR517A	
MIR519D	
MIR521-2	
RNU6-803P	
MIR520D	
MIR517B	
MIR520G	
MIR516B2	
MIR526A2	
MIR518E	
MIR518A1	
RNU6-980P	
MIR518D	
MIR516B1	
MIR518A2	
RUSF1	11757549_s_at
RUSF1	11746663_a_at
RUSF1	11746664_x_at
RUSF1	11747667_x_at
RUSF1	11757550_x_at
RUSF1	
MIR517C	
RN7SL190P	
MIR520H	
RNU6-982P	
MIR521-1	
RNU6-751P	
MIR522	
MIR519A1	
MIR527	
TENM1	11737984_at
TENM1	11737985_s_at
TENM1	
MIR516A1	
MIR1283-2	
RNU6-1041P	
MIR516A2	
MIR519A2	
REXO1	11720722_x_at
REXO1	11745957_a_at
REXO1	11746677_x_at
REXO1	11746676_a_at
REXO1	
ZNF672	11757617_s_at
ZNF672	11745091_s_at
ZNF672	11749239_s_at
ABCB11	
FURIN	11716282_s_at
FURIN	
HHLA1	11737666_at
HHLA1	
MIR6893	
TONSL-AS1	
LINC02771	
CYHR1	11741622_s_at
CYHR1	
CYHR1	11737983_a_at
MOCS2	11716513_a_at
MOCS2	
SPATS2	11736225_a_at
SPATS2	
SPATS2	11736226_a_at
SPATS2	11736224_x_at
LINC01735	
LAMB3	11719487_a_at
LAMB3	11752302_a_at
LAMB3	
LINC01028	
KCNJ2	11730466_a_at
KCNJ2	11730465_at
MIR1909	11720722_x_at
MIR1909	11745957_a_at
MIR1909	11746677_x_at
MIR1909	11746676_a_at
CALM2P1	
ZACN	
ZACN	11737541_at
KLF16	11753184_s_at
KLF16	11753185_x_at
KLF16	11719530_x_at
KLF16	11719529_at
UBE2V1P6	
ZNF80	11738134_a_at
ZNF80	11746879_a_at
ZNF80	11738133_a_at
AHSP	11718997_at
ABHD17A	11715966_s_at
ABHD17A	11744940_s_at
ABHD17A	11724844_s_at
LRP2	11752123_a_at
LRP2	11727124_s_at
LRP2	11751976_a_at
LRP2	11727123_at
LRP2	11727122_at
LRP2	
KIFC2	11724597_a_at
KIFC2	
GALR2	11731328_at
LINC02190	
ALDH1L1	11756274_a_at
ALDH1L1	
ALDH1L1	11761771_a_at
TLR8	11726947_a_at
TLR8	11726948_at
VN1R64P	
VN1R65P	
FRG2KP	
ASIC3	11756814_a_at
ASIC3	
TMSB4X	11753735_x_at
TMSB4X	11754315_x_at
YBX3P1	
KRBOX5P1	
VN1R66P	
EXOC7	11756454_a_at
EXOC7	11719771_a_at
EXOC7	11755490_x_at
EXOC7	11719770_a_at
EXOC7	11755489_a_at
EXOC7	
ARL6IP1P2	
RNU6-811P	
CDIPT	11754080_x_at
CDIPT	11746473_x_at
CDIPT	11715862_x_at
CDIPT	
LINC00993	
SCAMP4	
SCAMP4	11718333_s_at
SCAMP4	11744023_at
FAM9C	11740726_a_at
RN7SL314P	
TMEM161BP1	
VN1R53P	
FOXH1	11732008_a_at
TUBGCP2	11718342_a_at
TUBGCP2	11745125_a_at
TUBGCP2	11718343_a_at
TUBGCP2	
TUBGCP2	11761281_at
TUBGCP2	11761282_x_at
PPP1R16A	11716243_a_at
PPP1R16A	
JPX	
P4HA2-AS1	
ISG20	11756806_a_at
ISG20	
MIR6830	
PDLIM4	
PDLIM4	11730739_a_at
PDLIM4	11730740_a_at
PANO1	
LINC02547	
LINC02989	
PARVA	
PARVA	11758841_s_at
PARVA	11721080_at
PARVA	11721081_at
PARVA	11751491_a_at
PPIB	11715607_at
PPIB	11715608_x_at
CPEB1-AS1	
ACAD10	
ACAD10	11753097_a_at
ACAD10	11740801_a_at
ACAD10	11740710_x_at
ACAD10	11720156_a_at
ACAD10	11740709_a_at
ACAD10	11740708_x_at
AP3B2	11756470_a_at
AP3B2	11748914_a_at
AP3B2	11727683_a_at
AP3B2	
CDK5	11754938_a_at
CDK5	11751815_a_at
SLC22A4	11724454_at
SLC22A4	
OR4P4	11742602_at
OR4A11P	
ADAT3	11744023_at
DSTYK	11753269_a_at
DSTYK	11723118_a_at
DSTYK	11737623_a_at
DSTYK	11723120_x_at
DSTYK	11751984_x_at
DSTYK	11723119_a_at
OR4A12P	
OR4A9P	
OR4X7P	
OR4A10P	
OR4A17P	
CSNK1G2	11735712_x_at
CSNK1G2	11735713_x_at
CSNK1G2	11735711_a_at
CSNK1G2	11757180_a_at
CSNK1G2	
OR4A13P	
OR4A50P	
MIR3936	
ZDHHC6	11732153_a_at
ZDHHC6	
GPT	11752857_x_at
GPT	11763604_x_at
GPT	11745594_x_at
GPT	11747456_a_at
GPT	11748915_a_at
OR10G6	
C5orf22	11739556_a_at
C5orf22	11751685_a_at
C5orf22	11756536_a_at
C5orf22	
OR10G5P	
OR10G9	11742608_x_at
MEMO1P4	
OR10D5P	
RNU7-69P	
CHCHD2P1	
MIR130A	
XIAP	11757039_a_at
XIAP	11725698_x_at
XIAP	
XIAP	11725699_at
XIAP	11725700_s_at
XIAP	11755086_x_at
TTC9C	
TTC9C	11721190_a_at
ASPHD1	11746932_a_at
LINC00632	11734170_at
LINC00632	
ZBTB3	
ZBTB3	11736908_at
POLR2G	11720926_a_at
	11760806_at
TMUB1	11718310_x_at
TMUB1	11744677_x_at
TMUB1	
KCTD13-DT	
RNU6-363P	
CDR1	11737481_s_at
CDR1	11737482_x_at
P4HA2	11717118_a_at
P4HA2	
MFSD3	11744304_a_at
ALDOA	
ALDOA	11733097_x_at
ALDOA	11745964_x_at
ZNF804A	11729020_at
CASK	11729379_s_at
CASK	11721586_a_at
CASK	11758271_s_at
CASK	11729380_a_at
CASK	
AGAP3	11744561_a_at
AGAP3	11754441_a_at
AGAP3	11741766_a_at
AGAP3	
CSNK1G2-AS1	11740703_at
RPL23AP33	
	11764101_at
	11764203_at
EEF1A1P12	11745648_x_at
EEF1A1P12	11758011_x_at
ACTL9	11731115_at
CD8B2	
CD8B2	11764101_at
RPL23AP78	
LINC01710	
TAF6L	
TAF6L	11747503_a_at
TAF6L	11756231_a_at
TAF6L	11730917_at
RECQL4	11741414_a_at
RECQL4	
IPO8P1	11725671_a_at
AHCYP8	
LSM7	11719721_x_at
LSM7	11719720_s_at
LSM7	
ARHGEF10L	11755637_x_at
ARHGEF10L	11738145_a_at
ARHGEF10L	11752455_a_at
ARHGEF10L	11747347_a_at
ARHGEF10L	11751958_a_at
ARHGEF10L	11735054_a_at
ARHGEF10L	
CEP57L1P1	
EIF4EBP2	11716403_at
EIF4EBP2	11716402_at
EIF4EBP2	11758645_s_at
EIF4EBP2	11716404_s_at
EIF4EBP2	11758101_s_at
NODAL	11731370_a_at
NODAL	11731372_a_at
NODAL	11731371_at
KCNC2	11758605_s_at
KCNC2	11740215_a_at
COL3A1	11758342_s_at
COL3A1	11744379_a_at
COL3A1	11744380_s_at
COL3A1	11715414_x_at
COL3A1	11715415_a_at
COL3A1	
YY1P1	
HMCN2	
HMCN2	11747028_at
TIMM13	11732139_at
TIMM13	11732138_at
TIMM13	
EBF3	11725865_a_at
EBF3	11725867_s_at
EBF3	11725866_at
EBF3	
PARL	11731166_a_at
PARL	
TMEM223	
TMEM223	11742713_at
LMNB2	11716170_at
LMNB2	11732139_at
LMNB2	11716171_s_at
LMNB2	11732138_at
LMNB2	
TMEM179B	11724226_at
TMEM179B	
MIR6748	11724226_at
NXF1	11751750_a_at
NXF1	11742713_at
NXF1	11756543_a_at
NXF1	
MIR7108	
LINC01775	
C10orf143	
ZFC3H1	11743318_s_at
ZFC3H1	11743317_at
ZFC3H1	
ZFC3H1	11762632_at
ZFC3H1	11762631_a_at
GADD45B	11763624_x_at
GADD45B	11757865_a_at
GADD45B	11759525_at
GADD45B	
CTAGE7P	
PPIAP32	
GLRX3	11758763_at
GLRX3	11757084_s_at
GLRX3	11716976_x_at
GLRX3	
PTGS1	11749730_a_at
PTGS1	11722210_a_at
PTGS1	11722209_a_at
PTGS1	11722208_a_at
PTGS1	
TSNAX	
TSNAX	11727000_x_at
TSNAX	11726999_s_at
LINC01864	
LINC01138	
ZNF787	11721240_at
ZNF787	
POU4F3	11735973_at
ZNF444	
ZNF444	11719278_a_at
ZNF444	11719279_x_at
BEND7-DT	
RPL6P24	
RNA5SP301	
LINC02769	
	11717044_a_at
	11740674_a_at
ACSL5	11723947_a_at
ACSL5	11723946_a_at
ACSL5	
RNA5SP196	
RN7SL791P	
NOS1AP	11738123_a_at
NOS1AP	11737090_a_at
DROSHA	11727107_a_at
DROSHA	11727108_x_at
DROSHA	11727109_a_at
DROSHA	11749636_a_at
DROSHA	11739629_x_at
DROSHA	
LRRC14	11747733_a_at
LRRC14	11720736_a_at
LRRC14	11720735_s_at
LRRC14	
CCNL1	11745826_a_at
CCNL1	11718594_a_at
CCNL1	11752535_a_at
CCNL1	11759759_s_at
CCNL1	
GALP	11735955_a_at
GALP	
MIR1245A	
MIR1245B	
MIR3606	
CCDC140	11741854_at
NEDD1	11740287_a_at
NEDD1	11741727_a_at
NEDD1	11739545_s_at
NEDD1	11739546_a_at
NEDD1	
LRRC24	11730663_s_at
SNRPGP15	11757703_x_at
PTCD3	
PTCD3	11743105_at
PTCD3	11746612_a_at
PTCD3	11758516_s_at
PTCD3	11743103_at
PTCD3	11743102_at
PTCD3	11743104_at
PTCD3	11757173_x_at
TECR	
TECR	11730198_s_at
TECR	11755502_x_at
C8orf82	11722484_a_at
C8orf82	
GARIN4	11730941_a_at
MIR6514	11756543_a_at
	11717259_a_at
RNU6-118P	
RNPEP	
RNPEP	11755315_a_at
STX5-DT	
TEX54	
RNU2-2P	
SNORD22	11757113_a_at
SNORD30	11757113_a_at
SNORD28	
SNORD27	
SNORD26	
SNORD25	
MIR130AHG	
YPEL4	11755945_a_at
YPEL4	
ZNF517	11737684_a_at
ZNF517	
ZNF517	11755465_x_at
ASB10	11739760_a_at
ASB10	11741584_a_at
ASB10	
MRPS34	11756163_a_at
ZDHHC5	11744947_a_at
ZDHHC5	
ZDHHC5	11755656_a_at
MIR107	
PANK1-AS1	
IQCA1L	
MIR5100	
SPSB3	11750057_a_at
SPSB3	11755340_a_at
SPSB3	11716731_a_at
SPSB3	
LINC02623	
LINC01264	
RET	11733418_at
RET	11733419_a_at
RET	11729917_at
RET	
OR1L3	11738686_at
TTLL11	11756477_a_at
TTLL11	11740269_at
TTLL11	
ABCF2	11722025_x_at
ABCF2	11736618_a_at
ABCF2	11722023_a_at
ABCF2	11722024_at
ABCF2	
SNORD94	11757173_x_at
MIR4779	
MRPL35	11743333_a_at
MRPL35	11743334_a_at
MRPL35	11743332_a_at
MRPL35	11759491_s_at
MRPL48	11761696_x_at
MRPL48	11756526_a_at
MRPL48	11761695_at
MRPL48	
AMBP	11747103_a_at
AMBP	11724511_a_at
AMBP	11760756_at
NCEH1	11724836_at
NCEH1	11724838_a_at
NCEH1	11724837_at
NCEH1	
KDM3A	
KDM3A	11716574_at
KDM3A	11750576_a_at
KDM3A	11716573_a_at
RNU6-456P	
RN7SL541P	
PPP2R2B	11759146_at
PPP2R2B	11747487_a_at
PPP2R2B	11722879_a_at
PPP2R2B	
ANGEL2	11733991_a_at
ANGEL2	11733990_a_at
ANGEL2	
ANGEL2	11759714_at
KIF12	
KIF12	11724174_at
TMEM43	11716578_at
TMEM43	11757053_a_at
TMEM43	11757054_x_at
TMEM43	
MIR639	
NDUFB7	11718991_a_at
HERPUD2	11757630_s_at
HERPUD2	11749027_x_at
HERPUD2	
TNS2	11756887_a_at
TNS2	
RN7SL337P	
RN7SL842P	
NUBP2	
NUBP2	11756135_a_at
NUBP2	11745852_a_at
MIR6868	
FOXJ1	11721619_at
FOXJ1	11721620_at
MEGF8	11745388_x_at
MEGF8	11721185_at
MEGF8	11737688_at
MEGF8	
RNF157-AS1	
LINC02843	11741903_at
OR1D4	11742387_s_at
OR1D3P	
SKA2	11729174_a_at
SKA2	11729173_a_at
SKA2	
HERPUD2-AS1	
ITLN1	11723027_at
ITLN1	
NPR2	11718751_at
LINC03013	
RSBN1L	11743834_a_at
RSBN1L	11743833_at
RSBN1L	
RNU2-58P	
MIR454	
MIR301A	
PRR11	
PRR11	11756347_x_at
PRR11	11752694_x_at
CSGALNACT2-DT	
CSGALNACT2	11732701_a_at
RASGEF1A	11727731_at
RASGEF1A	
TBL1XR1	11716783_a_at
TBL1XR1	11749744_a_at
TBL1XR1	11716782_a_at
TBL1XR1	11716781_s_at
TBL1XR1	
KIAA0040	11745809_s_at
KIAA0040	11745808_a_at
KIAA0040	11745810_a_at
RN7SKP243	
MIX23P5	
COA4	11719564_a_at
COA4	
EIF3H	11744143_a_at
EIF3H	11744144_at
EIF3H	11746130_a_at
EIF3H	11760274_at
EIF3H	
TMEM60	11718693_at
TMEM60	11756100_s_at
OR13J1	11738496_at
FBP2P1	
DDX3ILA1	
RGSL1	
RGSL1	11752064_a_at
RGSL1	11732783_at
ELF2P3	
NPAP1P7	
CTSLP8	
RPL13AP17	
LINC02633	
RNU6ATAC11P	
RPL5P26	
SPATA31E1	11740497_at
MAGI2-AS1	
	11720182_at
	11756347_x_at
PAAF1	11744819_a_at
PAAF1	11746213_a_at
PAAF1	11757930_s_at
PAAF1	
MAGI2-AS2	
RNU6-337P	
RTN4RL1	11725607_at
RTN4RL1	11725608_at
COL13A1	11730533_a_at
COL13A1	11742450_a_at
COL13A1	11750544_a_at
COL13A1	11730534_x_at
COL13A1	
PTCH1	11751322_a_at
PTCH1	11740903_a_at
PTCH1	11743680_x_at
PTCH1	11743679_a_at
PTCH1	11735597_a_at
PTCH1	
RNU6-530P	
NUP35P2	
DPH1	11733730_x_at
DPH1	11747240_x_at
DPH1	11756964_x_at
DPH1	11716952_a_at
DPH1	
MAGI2	11744865_a_at
MAGI2	11757961_s_at
MAGI2	11724947_a_at
MAGI2	11724946_at
MAGI2	
IGFALS	11740660_a_at
IGFALS	
AKIRIN2	11726253_a_at
AKIRIN2	11756233_a_at
AKIRIN2	
KRT8P48	
PPP2R2B-IT1	
HAGH	11746626_a_at
HAGH	11717501_a_at
HAGH	11760509_x_at
HAGH	
COL14A1	11761652_at
COL14A1	11749658_a_at
COL14A1	11757921_s_at
COL14A1	11758810_at
COL14A1	
RN7SL183P	
STK32A-AS1	
SPACA1	11737129_at
	11739776_at
	11739777_at
FNDC9	11739776_at
FNDC9	11739777_at
NIPAL4-DT	
NIPAL4	11752740_a_at
NIPAL4	11728135_at
NIPAL4	
ACTBP8	
ORC3	11748588_a_at
ORC3	11718489_s_at
ORC3	11749156_x_at
ORC3	11747394_a_at
ORC3	11718488_a_at
ORC3	11750765_a_at
ORC3	
ORC3	11761315_at
MIR8077	
CNFN	11729856_at
LIPE	11726872_a_at
LIPE	11726873_at
LIPE	
HMGCR	11727375_a_at
HMGCR	11727376_a_at
HMGCR	11727374_s_at
HMGCR	
CXCL17	11722658_at
DISC1-IT1	
UBE2F-SCLY	11742096_x_at
UBE2F-SCLY	11754036_s_at
UBE2F-SCLY	11748923_a_at
UBE2F-SCLY	11742095_a_at
UBE2F-SCLY	11742094_a_at
UBE2F-SCLY	11757677_x_at
UBE2F-SCLY	11754037_x_at
RNU4-60P	
LINC01346	
	11736120_s_at
	11743755_s_at
CEACAM1	11756058_a_at
CEACAM1	11753506_x_at
CEACAM1	11751095_x_at
CEACAM1	11723282_a_at
CEACAM1	11751217_x_at
CEACAM1	11723283_a_at
CEACAM1	11751094_a_at
CEACAM1	11760081_x_at
CEACAM1	11760080_at
CEACAM1	
OVCA2	11733730_x_at
OVCA2	11747240_x_at
OVCA2	11756964_x_at
OVCA2	11716952_a_at
RPS26P13	11757761_x_at
EXOC8	11728131_at
EXOC8	11728132_s_at
RNU6-1333P	
GAPDHP75	
DPH1-AS1	
CCNQP1	11742534_at
CCNQP1	11742535_x_at
MIR132	
MIR212	
BRINP2	11752042_a_at
BRINP2	11744123_at
BRINP2	
HIC1	11745613_a_at
HIC1	11760064_x_at
HIC1	11731301_a_at
SCLY	11742096_x_at
SCLY	11748923_a_at
SCLY	11742095_a_at
SCLY	11742094_a_at
SCLY	11760311_a_at
SCLY	
SMG6	11720869_a_at
SMG6	11745314_a_at
SMG6	
KCNH1-IT1	
NEK7	11717451_at
NEK7	11717450_a_at
NEK7	11717452_x_at
NEK7	
VAC14	11719752_x_at
VAC14	11719751_a_at
VAC14	11750690_a_at
VAC14	
PGBD5	11752769_a_at
PGBD5	11722328_a_at
PGBD5	11722329_at
PGBD5	11722327_at
KIAA0319	11740305_at
KIAA0319	11740306_a_at
KIAA0319	11740304_a_at
MAPK10-AS1	
RN7SKP96	
MIR4452	
MAP6D1	11726751_at
MAP6D1	
GABRA2	11731933_a_at
GABRA2	
GABRA2	11759976_at
GABRA2	11763820_at
TM4SF19	11733584_a_at
COX5BP8	
	11764227_at
ANKRD45	11736901_at
ANKRD45	11736902_x_at
ANKRD45	
SYT2	11755675_a_at
SYT2	11729017_a_at
NUDT16	11730839_at
NUDT16	11730838_a_at
NUDT16	11761205_a_at
ESPNL	11732757_a_at
ESPNL	
ZNF695	11748155_a_at
ZNF695	
ZNF695	11737510_at
DIPK2A	11722456_at
DIPK2A	11741630_a_at
DIPK2A	11741631_a_at
DIPK2A	
VAC14-AS1	
	11718665_s_at
RNU6ATAC25P	
ACTG1P17	
RABL3	11725097_s_at
RABL3	11725098_s_at
RABL3	11725096_s_at
RABL3	
TEKT5	11756514_a_at
TEKT5	
MCUR1P1	
SNHG21	
RN7SL624P	
SMG6-IT1	
SMYD3-IT1	
KLHL30	11741538_at
SRR	
SRR	11734789_at
SRR	11734790_at
LINC02789	
FSD2	11737243_a_at
FSD2	
MTCYBP33	
YWHAQP9	
MTND6P33	
CEACAMP2	
MTND5P33	
ERFE	
C6orf62	11751713_a_at
C6orf62	11719801_a_at
C6orf62	11719800_at
MTND4P34	
CEACAM8	11758685_s_at
CEACAM8	11750177_x_at
CEACAM8	
MTND4LP24	
RPS6KC1	11722115_s_at
RPS6KC1	11747023_a_at
RPS6KC1	11756656_a_at
RPS6KC1	11747779_a_at
RPS6KC1	11722114_a_at
RPS6KC1	
RPS6KC1	11760717_at
MTND3P13	
MTCO3P24	
MTATP6P24	
TCEA1	11734919_s_at
TCEA1	11752908_a_at
