hgnc_symbol	affy_primeview
OR2T1	11742510_at
BDH1	11745124_a_at
BDH1	11729670_a_at
BDH1	
OR2T3	11738720_s_at
TSEN34	11753224_a_at
TSEN34	11732373_a_at
OR2T5	11738746_s_at
TMEM179	
TMEM179	11741776_at
VSTM1	11732665_a_at
VSTM1	
OR2W1	11742551_at
NOP56P1	
OR14J1	11742332_at
TRIM27	11717335_at
TRIM27	11748222_a_at
TRIM27	11757433_a_at
TRIM27	
GP6	11734187_a_at
GP6	11734188_x_at
C14orf180	11732475_a_at
C14orf180	11749276_a_at
C14orf180	11749277_x_at
MCCC2	
NCR1	11738679_a_at
PKLR	11740858_a_at
PKLR	11730104_a_at
PKLR	11730105_a_at
PKLR	
NLRP2	11750163_a_at
NLRP2	11718351_x_at
NLRP2	11718350_s_at
LILRA4	11741583_a_at
LILRA4	11753969_a_at
	11722310_a_at
HCG14	
HRAS	11744709_a_at
HRAS	11733320_a_at
HRAS	
RPL13P	
ZNF311	11744960_a_at
BDP1	11721969_s_at
BDP1	11745668_a_at
BDP1	11721970_a_at
PSMB1	
FAM120B	11754197_x_at
FAM120B	11762058_a_at
FAM120B	11763268_at
FAM120B	11763267_a_at
FAM120B	11749678_a_at
FAM120B	11736084_a_at
FAM120B	11763266_at
LENG1	11734157_a_at
LINC01623	11746578_at
ICE2P1	11747983_a_at
LINC01060	
LINC01015	
OR2B3	11742150_at
LAIR1	11724805_a_at
LAIR1	11748339_a_at
LAIR1	11748340_x_at
LAIR1	11724804_x_at
LAIR1	
MTX1P1	11719875_x_at
	11753439_a_at
RPL7AP27	
SCAMP3	11717403_a_at
SCAMP3	
LST1	
DENND11	11718566_s_at
DENND11	11718565_at
DENND11	11718567_at
DENND11	
LMNTD2-AS1	
RASSF7	11740893_a_at
RASSF7	
NLRP7	11731035_a_at
RPS9	11718341_s_at
PCGF7P	
ZNF729	
	11751099_x_at
	11750975_x_at
	11748292_a_at
	11751098_a_at
ZNF676	11737659_x_at
ZNF676	
GBA	11751099_x_at
GBA	11753440_x_at
GBA	11750975_x_at
GBA	11751085_a_at
GBA	11719908_a_at
GBA	11748292_a_at
GBA	11753439_a_at
GBA	11736100_a_at
GBA	11751086_x_at
GBA	11754819_x_at
GBA	11751098_a_at
GBA	
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	11749617_a_at
LILRA2	11736463_x_at
LILRA2	11736462_a_at
LILRA2	11752892_x_at
LILRA2	11749618_x_at
LILRA2	11733768_x_at
LILRA2	11733767_a_at
SSBP1	11728760_a_at
SSBP1	11750014_x_at
SSBP1	
DLL1	11724938_at
DLL1	11724937_a_at
CDHR5	11735794_x_at
CDHR5	11726645_a_at
CDHR5	11726646_a_at
CDHR5	
OR8U9	11715136_at
OR8J2	
FAM8A2P	
