hgnc_symbol	agilent_gpl6848
OR5G4P	
OR5G5P	
OR9G2P	
	A_24_P169524
OR9G1	
GEMIN2P1	
OR9G9	
GATAD2B	A_23_P386509
LINC02735	
CCDC92	
CCDC92	A_23_P98900
KRT18P40	
ZNF430	
RNA5-8SN5	
ZNF85	
ZNF85	A_23_P67702
SLC27A3	A_23_P126757
SLC27A3	A_24_P179816
SLC27A3	
	A_23_P502590
	A_24_P87746
	A_24_P717305
BNIP3P24	
	A_23_P159211
	A_24_P913716
ZNF66	
ZNF66	A_24_P928489
ZNF66	A_32_P14669
PIWIL1	A_23_P116741
PIWIL1	
	A_24_P75093
KRTAP9-2	A_23_P89646
KRTAP9-10P	
KRTAP9-4	A_23_P207868
KRTAP9-6	
	A_23_P420348
KRTAP9-7	
KRTAP29-1	
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	A_23_P311585
	A_32_P226858
PPIAL4F	A_24_P144499
PPIAL4F	A_24_P264772
DHX36	
DHX36	A_23_P57697
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	A_23_P161209
DLG5	A_24_P129632
DLG5	
ARHGEF26	A_23_P69100
ARHGEF26	A_32_P5276
LINC01839	
LINC02054	
RNU6-222P	
FTCD	
ADI1	A_23_P148162
ADI1	A_32_P52911
TRAPPC12	
TRAPPC12	A_23_P256835
TRAPPC12	A_23_P347128
KRTAP9-3	A_23_P101038
	A_32_P41405
ARHGEF26-AS1	
SNTG2	A_23_P251132
FTCD-AS1	
LSS	A_24_P162211
LSS	A_24_P110799
LSS	A_24_P384839
LSS	
TPO	
LINC01659	
SUDS3P1	
ZDHHC8P1	A_23_P356731
ZDHHC8P1	
PROP1	A_23_P135848
LINC00254	
HS3ST6	
MEIOB	
CES5AP1	
LINC02124	
KRT20	A_23_P66854
KRT20	
KCNQ2-AS1	A_32_P76566
FAM230I	A_32_P499005
KCNQ2	
KCNQ2	A_23_P351204
ERICH1	
KRTAP3-1	A_23_P107454
KRTAP3-2	A_23_P101048
ZNF965P	
GXYLT1P1	
KRTAP4-9	A_24_P315975
CYP4F34P	
LINC02557	
CNN2P12	
SNX18P26	
	A_24_P541576
LINC00328-2P	
	A_23_P170774
	A_32_P230720
	A_32_P27271
ANKRD20A9P	
KRTAP2-4	A_23_P164405
RNU6-55P	
	A_23_P68786
KRT23	A_23_P78248
KRT23	
ABCB11	A_23_P39703
SPATC1L	A_23_P371765
SPATC1L	
G6PC2	A_23_P67960
G6PC2	
SLC45A2	
RXFP3	A_23_P363365
ADAMTS12	
ADAMTS12	A_32_P103220
ABCB10P1	
GOLGA8DP	
SPC25	
SPC25	A_23_P51085
LINC02549	
APOBEC3B-AS1	
	A_24_P202948
APOBEC3A	
GARRE1	
	A_32_P14692
DLG5-AS1	
TUBGCP5	
RN7SL284P	
RNU6-1266P	
SEPTIN9-DT	
SEPTIN9	
LSM14A	A_23_P56069
LSM14A	A_24_P365327
LSM14A	
KRT40	
GOLGA6L1	A_24_P50972
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	A_32_P206839
NOSTRIN	
NOSTRIN	A_23_P79360
MPHOSPH10P5	
KRTAP1-1	A_23_P141624
KRTAP1-1	A_24_P151005
KRTAP4-11	A_23_P4400
KRTAP2-5P	
CYFIP1	
KRTAP1-3	A_23_P130241
KRTAP1-3	A_24_P142495
KRTAP4-16	
KRT12	
DLGAP2-AS1	
	A_24_P280903
DLGAP2	
KRTAP1-5	A_23_P118842
KRT39	
ANKRD18DP	A_24_P211894
CNTNAP2	A_23_P84399
CNTNAP2	A_23_P95802
CNTNAP2	A_24_P417055
RPS17	A_23_P117721
RPS17	
GOLGA6L22	A_24_P50972
GOLGA6L22	A_32_P715159
SLC25A51P1	A_32_P143850
ADH5P4	A_24_P280873
AADACL2	A_23_P91970
KRTAP3-4P	
GOLGA8EP	A_24_P264166
GOLGA8EP	A_24_P349633
KRTAP2-1	A_24_P76854
	A_24_P221674
SKA1	A_23_P153168
SKA1	A_24_P322354
SKA1	
	A_32_P12610
METRNL	A_23_P10591
KRTAP3-3	A_23_P89649
LINC02066	
KRTAP2-3	A_24_P125977
KRTAP2-3	A_32_P24382
AADACL2-AS1	
RNU6-821P	
ZNF43	A_23_P5234
KRTAP4-12	A_23_P15798
KRTAP1-4	
HERC2P2	A_23_P48973
HERC2P2	A_23_P346048
HERC2P2	A_24_P222237
HERC2P2	
PAXBP1	
	A_23_P66844
ZNF100	A_24_P151325
ZNF100	A_32_P48244
ZNF100	
	A_24_P325146
C21orf62	A_23_P132079
FRG1-DT	
CCNYL6	
HERC2P7	A_24_P555791
SPATA31E3P	
	A_32_P180385
GOLGA8IP	
GOLGA8IP	A_24_P229669
C21orf62-AS1	A_24_P359322
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	A_24_P734720
VN1R84P	
MTDHP4	
MAPK4	
	A_24_P332739
	A_32_P92654
CPEB1	A_23_P106322
CPEB1	
TBCD	A_23_P100602
TBCD	A_24_P169258
TBCD	A_24_P275873
TBCD	
	A_32_P16918
RNA5SP458	
LRRC56	A_23_P368996
	A_24_P72139
MPHOSPH10P9	
CTDP1-DT	A_24_P186141
	A_32_P60585
	A_23_P356646
	A_32_P449517
RPS6P22	
LRIG3-DT	
MAFIP	A_23_P356646
MAFIP	A_24_P306443
MAFIP	A_32_P449517
SMN2	
SMN2	A_23_P58466
TUBGCP5	A_23_P152038
CTDP1	A_23_P89727
CTDP1	
DECR2	A_23_P100315
DECR2	
MREGP1	
	A_23_P25069
AP2A2	
AP2A2	A_23_P21853
AP2A2	A_24_P339974
AP2A2	A_24_P932418
SNTB2	
RPL4P5	A_32_P205100
PHRF1	A_23_P75391
PHRF1	A_32_P8251
PHRF1	
UTP4	
UTP4	A_23_P54626
UTP4	A_24_P25346
SINHCAF	A_23_P13663
SINHCAF	A_32_P103837
SINHCAF	
MAD2L1-DT	
GART	A_24_P820372
GART	A_23_P80098
GART	
ABR	A_23_P503182
ABR	
MEGF11	
	A_24_P575267
RPS5P3	
DNAJC28	A_23_P68700
UGT2A3	A_24_P334378
	A_23_P53329
B3GNTL1	A_24_P181672
B3GNTL1	
IFNGR2	
IFNGR2	A_23_P29036
MUC6	A_24_P752518
MUC6	A_24_P88079
MUC6	
UGT2B27P	A_24_P521559
MUC20-OT1	
MUC20-OT1	A_23_P92222
MUC20-OT1	A_23_P92225
MUC20-OT1	A_23_P212626
MUC20-OT1	A_24_P315873
MUC20-OT1	A_24_P58944
CDH12P2	
PMCHL2	A_23_P170378
PMCHL2	
UGT2B29P	
UGT2B10	
PRB1	A_23_P128263
RAB11FIP3	A_23_P106727
RAB11FIP3	
GTF2H2	A_24_P274640
GTF2H2	A_24_P3704
GTF2H2	
RNU6-1025P	
UGT2B15	A_23_P58407
SDHAP2	A_24_P315873
SDHAP2	A_24_P58944
KRTAP5-6	
KRTAP5-1	
KRTAP5-4	
KRTAP5-5	
MT2P1	
FAM99A	
DIS3L-AS1	
TMPRSS11E	A_23_P18751
LINC02708	A_32_P205431
KRTAP5-AS1	A_24_P33446
KRTAP5-AS1	
TMEM50B	
TMEM50B	A_23_P57304
TMEM50B	A_24_P305623
NDUFA6	A_23_P91769
NDUFA6	A_24_P23245
	A_32_P205431
DUSP8	A_23_P390528
DUSP8	A_24_P322867
DUSP8	
GNG5P1	
TCF20	A_23_P424316
TCF20	
FAM99B	
IFITM10	A_23_P75362
KRTAP5-3	
KRTAP5-2	
SMDT1	A_24_P271542
SMDT1	A_23_P211584
SMDT1	A_24_P753454
YTHDC1	A_23_P92590
YTHDC1	A_24_P208961
YTHDC1	A_32_P352697
YTHDC1	
LINC00235	
CAPN15	
NDUFA6-DT	A_24_P753454
OLA1P1	A_23_P28420
CYP2D7	A_23_P155123
CYP2D7	
LINC02982	
NKD2	A_23_P41804
NKD2	A_24_P129107
NKD2	
CSPG4P10	
GOLGA6L9	
GOLGA6L9	A_24_P366390
GOLGA6L9	A_24_P153880
GOLGA6L9	A_32_P231086
GOLGA6L17P	
CYP2D8P	
GOLGA2P10	
SLC12A7	A_23_P251855
SLC12A7	A_23_P61688
SLC12A7	A_24_P60634
SLC12A7	
LMNTD2	A_32_P336712
LMNTD2	
UBE2Q2P6	
TIMM22	A_23_P55468
ADAMTS7P1	
	A_24_P247408
NXN	
MUC4	
GOLGA6L10	A_24_P366390
GOLGA6L10	
MIR210HG	A_24_P886966
LINC00824	
GOLGA6L10	A_24_P153880
GOLGA6L10	A_32_P231086
GOLGA6L10	A_32_P60343
RNH1	A_23_P202672
RNH1	A_24_P415601
RNH1	
RNH1	A_23_P349203
UBE2Q2P2	
	A_24_P232856
MUC20	
MUC20	A_23_P92222
KIF26B	A_23_P387105
KIF26B	
RPL7AP55	
OR10A3	
OR5P2	A_23_P47125
OR5E1P	
OR5P3	A_23_P399217
OR10A6	
NLRP10	A_23_P403488
NLRP10	
NDUFA6-DT	
SERF1B	A_24_P346126
SERF1B	A_24_P935881
SERF1B	A_23_P69868
	A_23_P78840
TARM1	
CYP2D6	A_23_P155123
MBOAT7	A_23_P208516
MBOAT7	A_32_P123788
NAIP	A_23_P110473
NAIP	A_24_P283221
NAIP	A_24_P72139
NAIP	
CNOT3	A_23_P38987
CNOT3	
DRD4	A_23_P150162
DRD4	A_24_P25668
DEAF1	A_23_P124044
DEAF1	
	A_23_P137865
CLK2	A_23_P85888
CLK2	A_24_P67027
CLK2	
OR2AS2P	
OR2T6	
OR2T2	
	A_23_P155123
OR2T4	
RDH13	A_23_P39185
IRF7	A_24_P118892
IRF7	A_24_P378019
IRF7	
OR2T7	
OR2T1	
BDH1	A_32_P214284
BDH1	
OR2T3	
TSEN34	A_23_P130626
TSEN34	
MUC20	A_23_P92225
OR2T5	A_24_P281439
TMEM179	A_24_P93206
TMEM179	A_32_P109755
VSTM1	
OR2W1	A_23_P255389
NOP56P1	A_24_P101402
OR14J1	
TRIM27	A_24_P163405
TRIM27	A_32_P137035
TRIM27	
GP6	A_23_P27784
C14orf180	
MCCC2	
PKLR	A_23_P201022
PKLR	A_24_P325533
PKLR	
NLRP2	A_24_P213161
LILRA4	A_23_P90497
	A_23_P330461
HCG14	
HRAS	
HRAS	A_23_P98183
RPL13P	A_24_P289884
ZNF311	A_23_P417014
ZNF311	A_24_P152911
BDP1	A_23_P7483
BDP1	A_24_P26342
BDP1	A_24_P42316
BDP1	A_24_P940776
BDP1	
PSMB1	
	A_32_P185839
FAM120B	A_23_P313476
FAM120B	A_24_P346181
FAM120B	
LENG1	A_23_P208523
LINC01623	
ICE2P1	
LINC01060	
LINC01015	A_24_P879804
LINC01015	
OR2B3	
	A_32_P859499
LAIR1	A_23_P209135
LAIR1	
MTX1P1	A_23_P137865
RPL7AP27	A_24_P383330
SCAMP3	A_23_P97274
SCAMP3	
LST1	
DENND11	A_23_P404821
DENND11	A_32_P24059
DENND11	
LMNTD2-AS1	
RASSF7	A_23_P47116
RASSF7	A_23_P52589
NLRP7	A_23_P16384
	A_24_P149445
	A_32_P539599
RPS9	
PCGF7P	
ZNF729	
	A_32_P512061
ZNF676	A_24_P205036
ZNF676	
GBA	A_23_P201035
GBA	
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	
SSBP1	A_23_P31536
SSBP1	A_24_P913132
SSBP1	
DLL1	
CDHR5	A_23_P202683
CDHR5	A_24_P352388
CDHR5	
OR8U9	A_23_P24676
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	A_23_P50368
OSCAR	A_23_P50374
OR8U8	
OR8L1P	
OR5T3	
OR5T2	A_23_P87104
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	A_23_P36050
OR8H1	A_23_P75707
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	
SMN1	A_23_P58466
TFPT	A_23_P27573
OR2J3	
	A_24_P203964
	A_24_P568190
	A_24_P710730
HLA-H	
MICB	A_23_P387471
MICB	A_24_P169688
MICB	A_32_P74983
LINC02197	
DEFB104B	A_23_P9018
AGK	
AGK	A_23_P309224
SERF1A	A_24_P346126
SERF1A	A_24_P935881
SERF1A	A_23_P69868
DEFB105B	A_23_P380871
PRPF31	A_23_P142018
PRPF31	A_23_P142022
PRR23D1	
WEE2	
DEFB4B	A_23_P157628
FAM90A7	
LILRB1	A_23_P343221
LILRB1	
DEFB103B	A_23_P169017
	A_32_P24059
DEFB108C	
FAM90A22	
OR7E157P	A_32_P352358
HSPD1P3	
FAM90A21P	
ZNF705G	
NDUFA3	A_23_P208540
HCN3	A_23_P34827
HCN3	
DEFB107B	
OR2U2P	
TRIM10	A_23_P420831
TRIM10	A_24_P166431
FAM90A6P	
SPAG11B	
SPAG11B	A_24_P115424
SPAG11B	A_23_P324319
SPAG11B	A_23_P425116
SPAG11B	A_23_P416011
SCT	A_23_P104594
FAM189B	A_23_P103690
FAM189B	A_23_P63101
FAM189B	
PTDSS2	
PTDSS2	A_32_P353798
DEFB106B	A_23_P425814
DEFB106B	A_32_P71343
MICG	
RNF39	A_24_P314931
FAM66B	
	A_24_P127701
FAM90A23	
ZNF90P2	
MUC21	
HCG15	
TRIM31-AS1	
TNF	A_23_P376488
TNF	A_24_P50759
OR11A1	A_23_P59099
LINC03015	
PRAMEF5	
FAM20C	
MOG	
LINC03014	A_32_P3131
PRAMEF22	
PRAMEF18	A_24_P204690
BTG3-AS1	
BTG3-AS1	A_32_P33723
BTG3	
	A_24_P692426
PRAMEF8	
LILRA5	A_23_P107847
LILRA5	A_24_P370172
MBOAT7	
HNRNPCL2	
RPS17P1	
OR5V1	A_23_P42241
PRAMEF25	
MICD	
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HNRNPCL4	A_24_P136161
PRAMEF33	A_24_P401615
PRAMEF9	
LY6G6F	A_23_P70534
CYP2D6	A_23_P143734
MYL6P5	
TMEM183AP1	
PSORS1C1	
PSORS1C1	A_23_P133902
PSORS1C1	A_24_P24848
NCR1	A_23_P108042
HLA-T	
HLA-DRA	A_32_P87697
PPP1R11	A_23_P19437
PPP1R11	A_24_P363315
BTNL2	
	A_23_P105044
TOMM40P4	A_24_P15754
CDRT15P3	A_24_P8888
	A_32_P32061
	A_24_P8888
RPL7P4	
RPL7AP7	A_24_P229833
LTB	A_23_P93348
CEACAM4	
CEACAM4	A_24_P70480
LINC01556	A_32_P55840
TMPOP1	
PSMB9	A_23_P111000
CEACAMP3	
PLEKHA3P1	
DNAJC19P2	
CEACAM21	A_23_P78595
CEACAM21	
LILRA3	A_23_P79094
LILRA3	
GOLGA6L24P	A_24_P50972
FAM189A1	A_32_P143000
FAM189A1	
ATP23	
ATP23	A_23_P53363
GABBR1	A_23_P93302
GABBR1	
GABBR1	A_23_P81898
DNAJC19P3	
TPM3P5	A_32_P162338
RNA5-8SN4	
LINC01480	A_32_P53234
CEACAM7	
CEACAM7	A_24_P228302
CEACAM7	A_23_P130573
PTPRN2	
MPHOSPH10P7	
	A_24_P761457
	A_32_P148627
IFITM4P	A_24_P16124
LINC02403	
APBA2	
APBA2	A_23_P146849
APBA2	A_23_P158231
	A_24_P812018
GIHCG	A_24_P618928
RN7SKP65	
LILRB2	A_23_P208493
LILRB2	
HLA-G	
HLA-G	A_23_P361614
KIR3DX1	
KIR3DX1	A_23_P398943
LILRA6	
ZFP57	A_32_P80245
OR2H5P	
OR5V1	
GPR53P	
OR2J2	A_23_P19428
HLA-DRB9	
MSH5-SAPCD1	A_24_P3804
PHLDA2	A_23_P47614
CARS1	A_24_P95439
CARS1	
FAM138D	
IQSEC3	A_32_P195515
IQSEC3	
CTSO	A_23_P110175
HERC2	A_23_P33407
HERC2	
MROH5	
SPPL2C	A_32_P142779
ASIC5	
RPS7P11	
	A_24_P305038
TDO2	
TDO2	A_23_P80974
MAS1LP1	
LINC01300	
HCG4	
DDX11L8	
SUMO2P1	
MDC1-AS1	
	A_24_P589028
ZNRD1ASP	
ZNRD1ASP	A_24_P358493
HNRNPA1P38	
PTP4A3	A_23_P112774
PTP4A3	
SLC39A11	
KANSL1-AS1	A_24_P221327
WHAMMP2	
IQSEC3-AS1	
	A_23_P130815
MAPK8IP1P2	
WASH8P	
NSFP1	
RPL32P1	
OR2J1	
SLC5A8	A_23_P338542
WNT3	A_23_P130158
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	A_24_P230288
	A_23_P349373
GOLGA8G	A_24_P264166
GOLGA8G	A_24_P349633
GOLGA8G	A_32_P59116
DHX16	
GPR20	A_23_P159237
GPR20	A_24_P266466
DLGAP2	A_23_P392317
DND1P1	
ANO4	A_23_P324554
ANO4	A_23_P409093
ARHGAP27	A_23_P141335
ARHGAP27	A_23_P141342
ARHGAP27	A_23_P401626
ARHGAP27	
APOM	A_23_P42265
APOM	A_24_P89426
MAMDC2-AS1	
MAMDC2	
HLA-K	
	A_23_P70492
HSPA1B	A_24_P123616
HSPA1B	A_24_P682285
HERC2P1	A_24_P555791
HSP90AA4P	A_24_P118142
OCA2	
C4B_2	A_23_P42282
C4B_2	
RPH3AL-AS2	A_23_P10753
RPH3AL-AS1	A_24_P851353
RPH3AL-AS1	
RPH3AL	
	A_24_P555791
RPL5P32	
	A_32_P143048
PDCD6IPP2	A_24_P144377
PDCD6IPP2	
ABCB10P4	A_24_P324449
GOLGA8M	A_24_P152491
NSMCE3	A_23_P117862
NSMCE3	A_24_P124973
HERC2P9	
HERC2P9	A_24_P792130
HERC2P9	A_24_P222237
RPL41P2	A_23_P128067
GOLGA6L25P	
	A_24_P144377
GOLGA8F	A_32_P59116
GOLGA8F	
GOLGA8F	A_24_P264166
GOLGA8F	A_24_P349633
GOLGA8F	A_24_P384588
OR2U1P	
LINC00533	
MUC2	A_23_P256784
MUC2	A_24_P341761
MUC2	A_24_P84657
MUC2	
MAPT-IT1	
	A_23_P10753
CHRFAM7A	A_23_P163390
	A_32_P24431
APBA1	A_23_P216806
APBA1	
OR2H4P	
TRIM26BP	
	A_24_P264507
SERPINF1	
WNT9B	A_23_P89587
RPSAP2	
PPP1R10	A_23_P156667
PPP1R10	
SCARF1	A_23_P15414
SCARF1	
TTYH1	
TTYH1	A_23_P50815
TTYH1	A_23_P50817
MAPT-AS1	A_24_P127174
MAPT-AS1	
LINC02210-CRHR1	
	A_32_P147090
MAPK8IP1P1	
LRRC37A4P	A_23_P4101
LRRC37A4P	A_24_P238143
LRRC37A4P	A_24_P666482
LRRC37A4P	A_32_P5571
NDUFB9P1	
NSF	A_23_P15714
NSF	
NSF	A_24_P221634
PRH2	A_23_P99076
ARHGAP11A	A_23_P136805
ARHGAP11A	A_24_P296254
TRBV11-1	
TAF9	A_23_P41604
TRBV7-6	
LINC02688	
TRBV10-1	
TRBV5-2	
TRBV7-4	A_24_P925799
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	
TRBV1	
TRBV19	
TAS2R19	A_23_P340308
TRBV12-4	
LINC02569	
TAS2R8	A_23_P48022
OR2J4P	
TRBV7-1	
HCG18	A_24_P567944
HCG18	A_24_P567952
HCG18	A_32_P181722
TAS2R7	A_23_P36624
TRBV25-1	
LRRC37A2	A_24_P238143
IGKV1D-8	
TRBV17	
IGKV3D-7	A_32_P159192
TAS2R50	A_23_P347029
TRBV5-3	
HNRNPA1P2	A_32_P216426
TRBV7-9	A_24_P254833
TAS2R43	A_23_P371254
STK19	A_23_P19479
STK19	
TAS2R14	A_23_P105495
TAS2R14	A_23_P62042
TRBV5-7	
IGKV1OR2-118	
TRBV27	
	A_24_P102053
TAS2R9	A_23_P336506
TRBV7-2	
TRBV21-1	
TRPV5	
TRPV5	A_24_P342236
TAS2R45	A_23_P303851
TAS2R31	A_23_P416191
TAS2R13	A_23_P99080
RAD17	
RAD17	A_23_P159053
RAD17	A_24_P97836
IGLV3-31	
TAS2R46	A_23_P376114
KSR1P1	
IGLV1-40	
IGKV1OR10-1	
	A_32_P127779
TAS2R20	A_23_P382794
PABPC1P8	
TAS2R15P	
OR2AD1P	
ASH2LP1	
MAS1L	A_23_P214565
PRR4	
PRR4	A_23_P62042
IGLV3-30	
OR2H2	A_23_P307274
IGLV1-44	
IGLV3-32	
ATAT1	A_23_P70509
ATAT1	A_24_P290130
ATAT1	
ZNF280B	A_23_P402134
ARMC10	A_23_P32913
DDR1-DT	
NEU1	A_24_P394533
KCNQ1	
KCNQ1	A_23_P429977
IGLVI-38	
HCG17	
IGLV2-34	
IGLV5-37	
TRPM1	A_23_P129225
IGLV7-43	
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
PLEKHM1	A_23_P152727
PLEKHM1	A_23_P164112
PLEKHM1	
IGLV1-36	
ZNF280A	
KCNQ1-AS1	
TLCD2	A_24_P503710
IGLV2-33	
	A_32_P75544
NAP1L4	A_24_P132950
NAP1L4	
IGLV5-45	
PRAME	A_23_P166360
PRAME	A_24_P216361
PRAME	
WDR81	
WDR81	A_23_P354208
RPL23AP95	
DPY19L2P2	A_24_P186608
DPY19L2P2	A_32_P78385
HLA-DQB1-AS1	
TRIM39	
TRIM39	A_24_P89413
MYOM2	A_23_P258912
MYOM2	
NLRP7	
MAPT	A_23_P207699
MAPT	A_24_P224488
MAPT	A_32_P95541
MAPT	
SMIM10L1	
TAS2R64P	
TAS2R10	A_23_P64888
TAS2R63P	
TRBV12-5	
RPP21	A_23_P214594
RPP21	
TRBJ2-2P	
LY6G5C	A_24_P7584
LY6G5C	
PRSS3P3	
TRBJ1-6	
TRBJ1-5	
TRBV11-2	
TRBV20-1	
CRHR1	A_23_P414884
CRHR1	
TRBV10-2	
LLCFC1	A_23_P157316
NAPEPLD	A_32_P105637
NAPEPLD	
NAPEPLD	A_32_P117170
TRBV9	
PRSS3P1	
TRBC1	
TRBJ2-1	
HSPA1A	A_23_P111132
HSPA1A	A_24_P123616
HSPA1A	A_24_P682285
LILRB5	A_23_P164784
LILRB5	A_23_P4773
LILRB5	
OR2P1P	
UBDP1	
HLA-F-AS1	A_32_P76811
HLA-F-AS1	
TRPV6	A_23_P71170
TRPV6	
HSPA1L	A_23_P70547
GPSM3	A_23_P219060
GPSM3	A_24_P144465
GPSM3	A_24_P230521
GPSM3	A_24_P26496
IGLV7-35	
SCGB1C2	A_23_P27207
C22orf15	A_32_P142700
C22orf15	A_32_P142702
OR2I1P	A_32_P175683
TSBP1-AS1	
HLA-B	
HLA-B	A_23_P113716
LINC02091	
KRT31	A_23_P107465
RXRB	
RPH3AL	A_23_P94819
CABIN1	
SMARCB1	
SMARCB1	A_23_P68824
AZU1	A_23_P153741
AZU1	
TBC1D3P7	
SLC43A2	A_24_P296508
SLC43A2	A_24_P78862
SLC43A2	
KRT33A	A_23_P78265
CRYZP1	
MICC	
LSM2	A_23_P59153
LSM2	
KRT37	
PRTN3	A_23_P142345
KRTAP16-1	
KRT34	A_23_P101054
TRBV6-7	
KRTAP17-1	A_23_P66858
PRSS2	
PRSS2	A_32_P94444
KRT33B	A_23_P89665
TRBV7-3	
ZBED9	A_32_P453191
TRBV18	
CCL4L2	
MOXD2P	
OR12D2	A_23_P93295
PLPPR3	
PRSS1	A_23_P380754
KRT18P1	
PRPF31	
PRRT1	A_32_P192474
PRRT1	
	A_23_P101054
ATP6V1G3	A_23_P23797
MED16	A_23_P56170
MED16	
CLIC1	A_23_P30884
LENG8	A_23_P56288
LENG8	A_24_P40055
LENG8	A_24_P40061
LENG8	
	A_32_P117758
	A_32_P117760
TJP1	A_23_P205828
TJP1	A_24_P193435
TJP1	
CCL3-AS1	
TBC1D3I	A_23_P164210
TBC1D3I	
TRBV23-1	
PTPRC	
PTPRC	A_23_P12392
	A_24_P8333
LY6G6E	
LY6G6E	A_23_P168092
TRBV5-4	
	A_24_P401981
PRSS3P2	A_23_P310274
KBTBD11-AS1	
MIF	A_23_P91619
KBTBD11	A_23_P94319
OR6V1	
HCG21	
MRPS18B	A_23_P59107
MRPS18B	
OR9P1P	
PGBD4P1	
TRBJ1-4	
DOC2B	A_24_P236753
DOC2B	A_24_P911718
DOC2B	A_32_P47538
DOC2B	
MGAM2	
HLA-DOB	A_23_P30736
HLA-DOB	
LINC03021	
	A_23_P91619
ARHGEF10	A_23_P216282
ARHGEF10	A_24_P283535
ARHGEF10	
ARHGEF10	A_24_P256674
ARHGEF10	A_23_P356216
ARHGEF10	A_23_P392024
ARHGEF10	A_24_P188085
DERL3	
DERL3	A_23_P6362
DERL3	A_24_P239343
ELANE	A_23_P130961
ELANE	
LINC02887	A_24_P665504
RILP	A_23_P26815
RILP	A_24_P185117
CFD	A_23_P119562
RPL13P	
HLA-DRB3	A_23_P145336
OR9A2	
TRBV13	
MIR22HG	A_23_P49610
MIR22HG	A_24_P253723
TRBV28	
LINC01149	
MCCD1P2	
TRBJ2-2	
SLC2A11	
EPHB6	A_23_P145935
EPHB6	
CDKN1C	
	A_32_P930375
CCL3L1	A_23_P321920
CCL3L1	A_24_P228130
CCL3L3	A_23_P321920
CCL3L3	A_24_P228130
CARS1-AS1	
OR12D3	A_23_P259555
	A_23_P116473
COX6CP18	
DDX39BP2	
