hgnc_symbol	agilent_cgh_44b
RINT1	A_14_P134939
RINT1	A_14_P134456
RINT1	
CBY1	
	A_14_P115445
USP51	
DMRTC1	
SFRP2	
ADAM20P2	
MAN1A2	A_14_P114430
MAN1A2	A_14_P129313
MAN1A2	
EEF1A1P21	
SRP72	
SRP72	A_14_P118376
FAM133A	
WFDC1	A_14_P139228
WFDC1	
F9	A_14_P113911
F9	A_14_P200623
TFPI2-DT	
APOL3	
PDE1C	
NDUFAF8	
MAP1LC3B	A_14_P132519
MAP1LC3B	A_14_P119571
MAP1LC3B	
SH2D3A	
LPAR3	
SLC38A10	
LINC02868	
LINC01753	
DPYD-AS1	
CTTNBP2NL	A_14_P133721
CTTNBP2NL	A_14_P107219
CTTNBP2NL	
ATP11C	
	A_14_P124164
ATP2C2-AS1	
TNFSF14	
ZCCHC14	
MIR4664	
RBMX2P3	
LINC01676	
NCKAP1	
LINC01525	
	A_14_P124158
MIR4745	
MIR3187	
STRIP1	
SYMPK	
	A_14_P115279
	A_14_P108790
TMEM105	
SHANK3	
SHANK3	A_14_P138080
RENO1	
MIR4740	
MIR3186	
LINC01971	
FAAP100	
SNHG4	
KCNJ5	
TPI1P1	
RNU6-876P	
SNORA74D	
SNORA74A	
NPAT	
MATR3	
MATR3	A_14_P114393
MATR3	A_14_P116917
TBC1D27P	
TNFRSF13B	
CCDC178	
UBE2N	
LINC02512	
WDR45P1	
LINC02433	
TSPAN5	
PIFO	A_14_P129803
GAPDHP39	
TESPA1	
DPP10	A_14_P101972
DPP10	A_14_P121331
DPP10	A_14_P202297
DPP10	
LINC02010	
LINC02090	
AADAC	A_14_P121351
MPRIP-AS1	
RNU6-767P	
RN7SL775P	
PLD6	
SLC25A24P1	
C11orf65	
PPIAP82	
FLCN	
LINC01650	
C14orf132	A_14_P137047
C14orf132	
GTF2IP5	
TSPAN2	
RNU6ATAC23P	
FATE1	
ESRRB	
BMPR1B-DT	
PPM1K	
B3GALNT1	
TECPR1	
MAGEA4	A_14_P104037
GAPDHP23	
LINC01776	
RPL26P9	
ACTG1P24	
LRIG2	A_14_P108500
LRIG2	
BDKRB2	
COPS3	
OR10D4P	
CRYAB	
FOXN3	
LINC01099	
CIBAR1P2	
FNIP2	
RPSAP60	
TPMTP3	
SNORA11E	
MAGED4	
SNORA11D	
HPD	
GPC4	
NPY1R	
FOXA3	A_14_P101521
MMP14	
MMP14	A_14_P114314
THAP5	
IRF2BP1	
MYPOP	
NANOS2	
CCDC61	
CCDC61	A_14_P136568
RNU6-203P	
RPS24P19	
RPSAP63	
GPC3-AS1	
TMA16	A_14_P102868
TMA16	
TIMM8BP2	
SLC35A3	
SLC35A3	A_14_P134575
LARP1BP3	
FOXP3	
LUARIS	
PIKFYVE	A_14_P136684
PIKFYVE	
MIR937	
GGT5	
TMEM243	
HSPB2	
HSPB2-C11orf52	
C11orf52	
MIR769	
PGLYRP1	
EPS15P1	A_14_P101584
EPS15P1	A_14_P132774
DIXDC1	
DIXDC1	A_14_P200668
DIXDC1	A_14_P104374
LSM5	
KATNAL2	
PDP2	A_14_P130423
PDP2	
IGFL3	
	A_14_P139628
TSEN2P1	
TGIF1P1	
	A_14_P109711
PDLIM5	
PDLIM5	A_14_P136807
PDLIM5	A_14_P125063
PDLIM5	A_14_P124592
DM1-AS	
TRIP11	
KLHL36	A_14_P119999
KLHL36	
ALG10	
ALG10	A_14_P139374
DMWD	
BCRP1	
MLKL	
IL17REL	
MC5R	A_14_P200504
MC5R	A_14_P128137
TMEM14B-DT	
RSPH6A	
UBE2L3	
MBD2	
KITLG	
TMEM14B	
LINC01393	
NT5M	
RPL32P5	
FAM32BP	
CECR3	
CECR9	
RN7SL843P	
LINC02188	
ADA2	
AP1S1	
RNA5SP195	
RN7SKP64	
RPL13P12	
CIAPIN1	
PAIP2	
PAIP2	A_14_P200149
PAIP2	A_14_P123751
TSEN15P1	
SNORA37	
MED9	
MED9	A_14_P108023
POLI	A_14_P125156
POLI	
ZNF426	
RASD1	
PLPP7	
PLPP7	A_14_P133145
TMEM268	
RPL27	
SCAF11	
RNA5SP351	
PPIHP1	
RNU6-893P	
NDUFB1	
NKAPD1	A_14_P135090
NKAPD1	A_14_P105547
NKAPD1	A_14_P116864
NKAPD1	
PLOD3	
ZNF561	
TEX53	
TEX48	
TNFSF15	
CPSF2	A_14_P101212
CPSF2	
SLC23A1	
GPR173	
VWC2L	A_14_P200765
VWC2L	A_14_P122216
VWC2L	
ATP6V1G1	
ATP6V1G1	A_14_P114363
TSPYL2	
TSPYL2	A_14_P117865
PSMD5	
B4GALNT2	
EPB41L5	A_14_P126253
EPB41L5	A_14_P107183
EPB41L5	
TIMM8B	
FBLN5	
PHF19	
RPS3AP25	
SDHD	
TMEM132E	
C18orf54	A_14_P113496
C18orf54	
LINC02445	
CD36	A_14_P120111
CD36	A_14_P201955
CD36	
KDM5C	
AEBP2	A_14_P111934
AEBP2	A_14_P102821
AEBP2	
IFI35	
MZB1	
PROB1	
ZNF562	
JPH3	
	A_14_P116011
NRBP2	
HSPE1P7	
RNA5SP203	
CDH11	
MAK	
TMEM11	
STARD6	
IL18	
AGL	A_14_P130836
AGL	A_14_P122063
TOX4	
TOX4	A_14_P108465
TOX4	A_14_P103716
TOX4	A_14_P124168
RPS4XP22	
SPIRE1	
UBE2L4	
FBXL12	
RNU6-732P	
MIR584	
RN7SKP145	
HTR1A	
HTR4	
TRIM32	
PLXNC1	A_14_P102414
PLXNC1	A_14_P122178
PLXNC1	
CDCA4P1	
CER1	
MIR6845	
TEX12	A_14_P124806
RNU6-1260P	
LDHAP4	
EPPK1	
RPL10P15	
PIN1-DT	
MIR661	
TMEM167AP2	
PSIP1P1	
OR7A8P	
UBE2V1P10	
BICRA-AS1	
PARP10	
CTSL3P	
EHD2	
SUGT1P1	
PRSS3P4	
BCO2	A_14_P106578
BCO2	
BCO2	A_14_P110105
ANXA2P2	
TRBV21OR9-2	
TRBV22OR9-2	
TRBV23OR9-2	
TRBV24OR9-2	
TRBV25OR9-2	
METTL3	
PTENP1	
TMEM169	
PTENP1-AS	
TRBV26OR9-2	
NOP53	
NOP53	A_14_P136002
NOP53	A_14_P133142
UBE2R2-AS1	
LINC01251	
GCM2	
TRBV29OR9-2	
UBE2R2	
RNU4ATAC11P	
SNORD121B	
SNORD121A	
OSTCP8	
RN7SKP114	
DCAF12	
MEAK7	
LINC02631	
TUBB4BP2	
XIRP2-AS1	
RPL23AP29	
SOD2	
CTSL	
CTSL	A_14_P100589
TANK-AS1	
E2F3P2	
GLULP6	
FTH1P20	
MED15P5	
FAM230G	
GYPC	
WDR59	
SALL2	
USP41	
C12orf75-AS1	
PCAT14	
MKRN9P	
MYF6	A_14_P117817
H3P39	
SLC28A2-AS1	
IGLL1	
SLC28A2	A_14_P104013
SLC28A2	
FREM1	
NCK1	A_14_P126342
NCK1	
MTERF2	
RN7SKP193	
VCPKMT	
DRICH1	
NUDCP1	
PRSS40B	
AGA-DT	
RPL10P6	
SNORD23	
NOP53-AS1	
RPL23AP80	
MTND6P17	
LRAT	
LRAT	A_14_P100245
C2orf27A	
ZNF552	
METAP2	A_14_P136440
METAP2	
ASLP1	
POM121L7P	
SOS2	
ACSL6	
E2F6P2	
FAM230B	
SLC44A3P1	
VWC2L-IT1	
ZNF587B	
PLRG1	
KCTD9P4	
MRPS36P4	
RPS12P21	
HNRNPH1P1	
FKBP1AP1	
RNU4ATAC18P	
BCHE	
PTS	A_14_P109929
PTS	A_14_P200827
PTS	
ZNF587	A_14_P101165
ZNF587	A_14_P137431
ZNF587	
WTAP	
WTAP	A_14_P106098
MTHFSD	
	A_14_P101165
ITGB6	
ZNF417	
FAM247A	
LRRC74B	
RN7SL187P	
HMGB1P37	
RNU6-953P	
PTGES2	
GATM	
POLDIP3	
ZNF256	
GRINA	
C19orf18	
RPS6P16	
PLET1	
IL12A-AS1	
MIR4750	
ST13P10	
IL4I1	
ZNF516-AS1	
SOD2-OT1	
NDUFV2-AS1	
ACAT2	A_14_P105770
ACAT2	A_14_P133728
MTCO3P38	
RN7SL233P	
MIR133A1	
MIR1-2	
RNU6-1038P	
RNA5SP451	
MIB1	
MIB1	A_14_P104917
MIB1	A_14_P122575
MIB1	A_14_P104151
SPATC1	
CEP44	A_14_P137027
CEP44	A_14_P124852
CEP44	
OPLAH	
TCP1	
RAB5C	
L2HGDH	
TOMM20P3	
GACAT2	
MTCL1	A_14_P121084
MTCL1	
LINC02391	
	A_14_P115556
ELOCP32	
SPATA5L1	
GTSF1	
LINC02181	
	A_14_P106578
RPL7AP63	
SLC7A5	
CCDC74BP1	
SMPD4P1	
SLC9A9-AS2	
NPM1P28	
RPS4XP19	
RPS6P4	
HOXB13	
TM4SF1	
RPL36AP39	
MIR147B	A_14_P113051
RNU5F-3P	
MIR3976	
FBXW10B	
TMEM200C	
MIR4504	
IGLL4P	
SLC9A3P2	
ABHD17AP4	
GRP	A_14_P102673
CDKL1	
SMC5	A_14_P134191
SMC5	
MIR6846	
POM121L4P	
EXOSC4	
SLC30A4	
BCRP5	
PI4KA	
FMR1-AS1	
MIR6847	
MIR4751	
SIGLEC11	
GPAA1	A_14_P103683
GPAA1	
FMR1-IT1	
ING2	A_14_P202213
FMR1NB	
MON2	A_14_P101418
MON2	A_14_P200733
MON2	
RAX	
TMEM183BP	
HMGN2P46	A_14_P101070
HMGN2P46	
FSTL5	
KLHDC4	
RNA5SP524	
FTH1P8	
TAB3	
CPLX4	
LINC02046	
LINC02046	A_14_P112126
SNORA41B	
DPPA5P2	A_14_P123444
BLOC1S6	A_14_P139679
BLOC1S6	
BLOC1S6	A_14_P126934
EGFEM1P	
LMAN1	
RPGRIP1	A_14_P139387
RPGRIP1	A_14_P128540
RPGRIP1	
NXPH3	A_14_P137656
CDK12	A_14_P110415
CDK12	
CDK12	A_14_P106611
VRK3	
MAGEA10	
KLF7P1	
TMEM14EP	
RPSAP46	
RN7SL726P	
MIR204	
PIGUP1	
MTCO2P8	
	A_14_P100416
RPL35AP21	
ATP5MF-PTCD1	
OR13F1	
TMEM212-AS1	
OR13C4	
SLC9A9	
OR13C8	
OR13D2P	
OR13C5	
OR13C2	
OR13C9	
OR13I1P	
MED12	
MED12	A_14_P135849
OR13C1P	
RPS26P54	
OR13D3P	
GLUD1P4	
NIPSNAP3A	
RPLP0P12	
CCBE1	
AZGP1	
CYC1	
CYC1	A_14_P127822
NIPSNAP3B	
OR7E7P	
HNRNPA1P47	
IMPDH1P7	
PNPO	A_14_P134095
PNPO	
LINC01876	
GTF3AP6	
PSAT1P4	
SHARPIN	
SIAH2	
SLC14A1	
SLC14A1	A_14_P103542
MTND4P2	
TOMM22P6	
CT70	
LRRN3	A_14_P124153
MTCO3P43	
	A_14_P126934
RPL22P7	
SQOR	
NEK11	A_14_P125088
NEK11	
NEK11	A_14_P133448
MYL1	
ABCA1	
GNG11	
LINC00500	
E2F6P3	
POM121L8P	
BCRP6	
FAM230H	
SEMA3C	
ARHGAP10	
ARHGAP10	A_14_P129307
MAF1	A_14_P113417
MAF1	
FMR1	
FMR1	A_14_P201584
SNORA20	
SNORA29	
COX16	
MRPL18	
PPP1R26P5	
LINC01651	
ANAPC1	
PNLDC1	A_14_P127672
PNLDC1	
RN7SKP63	
HIC2	A_14_P202456
FBXO31	
GGT2P	
SLC6A17	A_14_P110160
SLC6A17	
SYNJ2BP-COX16	
RN7SKP210	
UQCRFS1P1	
GRAP2	
CD101-AS1	
HSD3B2	
HSD3B2	A_14_P119711
HSD3B2	A_14_P119848
WDR97	
RNU2-51P	
SYNJ2BP	
CYB5D2	
DYNLRB2	
ADAM21	A_14_P137791
RPL7L1	
AHCYP7	
ADAM20P1	
TMEM168	
RPL7AP17	
CHIAP3	
USP8	A_14_P137196
USP8	
USP8	A_14_P124443
RNU6-659P	
ADAM20	
MED6	
TRPV3	
DYNLRB2-AS1	
HGH1	
LINC03012	
ADGRG5	
ADGRG5	A_14_P120916
COL11A1	
ATP5PBP2	
EMSLR	
TSSK5P	
C6orf226	
TES	A_14_P127969
TES	
INTS8	
INTS8	A_14_P138997
INTS8	A_14_P113166
PTCRA	A_14_P115164
KRT8P10	
PDCL3	
FAM246C	
NFAM1	
ENSAP3	
SGPP2	A_14_P135708
SGPP2	A_14_P138633
LINC02976	
RPL24P4	
GNMT	A_14_P126087
HSP90AA6P	
PIEZO1	
CBR4-DT	
DNAJC17P1	
LINC01179	
VDAC2P4	
SIGLEC15	
SCTR-AS1	A_14_P121130
SGO1P2	
SNRPBP1	
CRACDL	
ZNF716	
PEX6	
LINC01392	
GALNTL6	
PNPLA8	
PSTPIP2	
KRT18P7	A_14_P139082
TTC9-DT	
RN7SL77P	
TTC9	
NANOGP2	
SEC61GP1	
EGLN3-AS1	
RN7SKP108	
LINC02299	
PALLD	A_14_P127296
PALLD	A_14_P120761
PALLD	A_14_P202429
PALLD	
PALLD	A_14_P133507
TANC1	
DYNLL1P5	
RBP1	
PPP2R5D	A_14_P110643
PPP2R5D	
MAP3K9	
RN7SKP26	
RNY4P37	
ATP5F1A	
OR4C50P	
OR4C46	
OR4C7P	
BCRP4	
OR4R2P	
POM121L1P	
OR4A4P	
OR4A3P	
OR4A2P	
GGTLC2	
OR52L1	
KRT18P58	
RNA5SP329	
OR56A7P	
RPL21P43	
OR52X1P	
LINC01210	
CA7	
OR56B4	
OR56B3P	
OR52L2P	
OR52P1	
OR52Z1P	
OR5AK1P	
CPO	A_14_P117767
OR5BQ1P	
RNU6ATAC12P	
IGLV3-29	
IGLV2-28	
IGLV3-27	
IGLV3-26	
IGLVVI-25-1	
IGLV3-25	
IGLV3-24	
IGLV2-23	
OR8B7P	
TNFSF10	
IGLVVI-22-1	
IGLV3-22	
OR8B6P	
OR8B5P	
IGLV3-21	
OR8B1P	
STEAP3	
IGLVI-20	
OR8C1P	
IGLV3-19	
LINC01229	
OR8X1P	
IGLV2-18	
OR8A2P	
IGLV3-17	
OR8B9P	
IGLV3-16	
ZNF473	
OR8B10P	
IGLV3-15	
WDR38	
IGLV2-14	
OR8A3P	
DGCR2	
OR8A1	
OR8Q1P	
SEC23A	
MIR1343	
CD44-AS1	
PON2	
CFAP77	
GAPDHP49	
TMEFF2	
LINC01192	
SLC1A2	
LINC00917	
GPR21	A_14_P125065
TP53INP1	
FRRS1L	
RNA5SP395	
SIGLEC16	
ASPDH	
USP50	
GPR107	A_14_P127686
GPR107	A_14_P127479
GPR107	
VCPIP1	
C8orf44	
C8orf44	A_14_P116138
MTND2P33	
C8orf44-SGK3	
FABP5P12	
LRRC4B	
TRPM7	
ENPP6	
HAUS1	
SGK3	
SGK3	A_14_P129919
LINC02189	
SYT3	
HCCAT5	
CDH8-AS1	
SMARCA5-AS1	
RPL27AP3	
LINC02135	
SNAI1P1	
RWDD4	
KRT18P29	
MTND3P15	
RPSAP56	
UBE2FP2	
DUXAP11	
PLA2R1	
CX3CL1	
GTPBP1	A_14_P124140
GTPBP1	
EIF3IP1	
SEC23A-AS1	
PPIAP4	
TRAPPC6B	
CFDP1	
C19orf81	
GPR32P1	
GPR32	A_14_P124261
ACP4	
PRMT5P1	
CCNHP1	
TMEM184C	A_14_P107869
TMEM184C	A_14_P115477
TMEM184C	
SNORD88B	
H3Y1	
SNORD88A	
SNORD88C	
MTX3	
LINC01869	
LINC02125	
RNU6-1278P	
LINC01326	
KLK1	
MTND3P7	
EPG5	
NPM1P29	
SGCE	
RPL23AP40	
RPL7AP2	
PNN-AS1	
MTCO2P9	
PHC3	
PNN	
PNN	A_14_P128693
	A_14_P101278
CSF3	A_14_P128877
CSF3	
DUX4L3	
IL15	A_14_P113197
IL15	
UCA1	
FABP6	
MMP11	A_14_P116069
IFT74	
IFT74	A_14_P132422
GREB1L	
CYP4F36P	
ZNF861P	
LINC01764	
ZFP14	
NUDT7	
MEF2C	
YTHDF2P1	
MIA2-AS1	
LANCL1-AS1	
ZFP82	
ASCC2	
THRA	
THRA	A_14_P200471
THRA	A_14_P108110
THRA	A_14_P130248
RN7SL354P	
VRK1	A_14_P125646
VRK1	A_14_P139143
VRK1	
RPL32P30	
ZNF566-AS1	A_14_P132318
CTBP2P7	
POLG	
BANF1P3	
ZNF260	
	A_14_P102546
FOXL1	
FOXL1	A_14_P133874
MEA1	
ZNF529	
PTPRT	
TBC1D8-AS1	
RRP36	A_14_P114115
RRP36	
ZFHX3	
STAM2	
LINC00613	
RN7SL192P	
ASXL3	A_14_P139653
ASXL3	
RN7SL403P	
LDLR	
LDLR	A_14_P117693
DUX4L1	
KLC4	
KLC4	A_14_P121684
ASS1P8	
AREL1	
MYL12BP2	
NPY5R	
ZDHHC21	
NDUFB2P1	
C4orf45	
STXBP1	
STXBP1	A_14_P126784
WWC2-AS1	
VN2R10P	
LINC01098	
RFWD3	
MPRIP	A_14_P139213
MPRIP	
MIR4453HG	A_14_P138148
LINC01789	
LINC00290	
PTTG3P	
MTND1P22	
MCMDC2	A_14_P134257
MCMDC2	
PRSS40A	
RAB6C-AS1	
RNU6-331P	
RNU6-375P	
LRRC37A14P	
TLL1	A_14_P101657
TLL1	A_14_P109377
TLL1	A_14_P122103
TLL1	A_14_P127810
L3MBTL2	
L3MBTL2	A_14_P108467
TMPOP2	
ZNRF1	
LPIN2	
PXYLP1	
PXYLP1	A_14_P103405
CABLES2	
ABCA12	
DYNLL1P4	
PTPRT-DT	
LINC00654	
POLR3B	A_14_P109708
POLR3B	A_14_P115438
POLR3B	
ADAMTS18	
LINC00494	
DLGAP4-AS1	
RPS3AP12	
GAPDHP64	
LINC00237	
RNPC3	
RNPC3	A_14_P127777
RNPC3	A_14_P126079
RNPC3	A_14_P200815
CRMA	
CRMA	A_14_P135276
SNORD87	
	A_14_P115614
OSER1-DT	
FBXO25	
FBXO25	A_14_P113869
FBXO25	A_14_P100021
MALT1	A_14_P120229
MALT1	A_14_P125060
MALT1	
XAGE3	
L3MBTL2-AS1	
EPB41L1-AS1	
FTO	A_14_P113865
FTO	A_14_P134822
FTO	
CHADL	
LINC01742	
FRMD7	
C20orf85	
FCF1	A_14_P107088
FCF1	
ANKRD60	
MIR6889	
CD40	
SOX10	
MAP9	
SLC35G2	A_14_P102750
SLC35G2	
SNX7	A_14_P127293
SNX7	A_14_P107458
SNX7	
GPRASP2	A_14_P118681
GPRASP2	A_14_P112557
LARP7P4	
MIR6886	
OR7A2P	
MAFF	
MIR6796	
HIPK4	
MAOA	
MAOA	A_14_P111433
FNDC3B	A_14_P139390
FNDC3B	A_14_P109435
FNDC3B	
SERTAD1	
MXRA5	
SERTAD3	
TMEM184B	
LINC01709	
YLPM1	
SERTAD3-AS1	
ASS1P4	
LINC01546	
PSG6	
SLC30A7	A_14_P126823
SLC30A7	
GAGE12C	
MIR6812	
DAZAP2	
DAZAP2	A_14_P127009
MATN4	
GAGE12D	
MRPL2	
SYCN	
CLEC17A	A_14_P105246
CLEC17A	
ZCCHC14-DT	
GAGE12F	
LINC01228	
COTL1	
ELOA3DP	
GAGE12E	
ELOA3CP	
ELOA3BP	
ELOA3P	
SERPINB7	A_14_P118514
MIR549A	
GSTM1	
GSTM1	A_14_P110581
MESD	
HMGN2P22	
CNTNAP5-DT	
RARRES2P6	
CMC2	
KLC4-AS1	
GAGE12G	
AADAT	
RN7SL704P	
LINC02439	
RPL7P43	
PTK7	
PTK7	A_14_P124943
MIR4514	
CSNK1E	
CFAP161	
CFAP161	A_14_P101730
SLC4A8-AS1	
PMCH	
GAGE12H	
CSRP2	
GAGE2A	
ANP32BP3	
GAGE1	A_14_P106194
SLC28A1	
FASTKD2	A_14_P201919
FASTKD2	A_14_P139341
FASTKD2	
ADA	
MAPK1IP1L	
MAPK1IP1L	A_14_P111422
SERPINB2	A_14_P103098
SERPINB2	
TRHR	
TEAD2	
ENY2	
ENY2	A_14_P132600
GAGE10	
LGALS3	
LGALS3	A_14_P133483
GAGE12J	
EEF1B2P8	
KRT18P34	
PDE1B	
LINC01324	
SI	
POLR2C	A_14_P133441
POLR2C	
GAGE13	
SEC22B	
MAGT1	
CYP4A44P	
MAPK6P5	
PTGFRN	
NUDCD1	
DLGAP5	
HSD3BP1	
BCAS2	
XRCC5	A_14_P111005
XRCC5	A_14_P105832
XRCC5	
HMSD	
HMSD	A_14_P120259
EIF4A1	
EIF4A1	A_14_P107097
SERPINB8	A_14_P119430
SERPINB8	A_14_P120259
SERPINB8	
MTHFD2P4	
ADAM29	
ADAM29	A_14_P116141
ADAM29	A_14_P108694
UBN1	
UBN1	A_14_P116686
ZNF326	
ANKRD46	
SLC35E4	
GABRQ	
FBXW8	
DUSP18	
TENT5C-DT	
TRIM45	
LINC02233	
FBXW7	
TCN2	
TCN2	A_14_P111956
MAGEA3	
RNU6-339P	
RNU6-796P	
GAPDHP62	
SNX31	
UBE3A	
MAGEA2B	
RPL12P39	
LINC00305	
LINC01943	
COX5AP1	
FBXO34-AS1	
DYNC1LI2-DT	
RPS26P15	
MTND3P10	
FBXO34	A_14_P126378
FBXO34	
CALCRL-AS1	
CALCRL-AS1	A_14_P105958
RARRES2P7	
GLULP5	
NBPF17P	
SOCS2	A_14_P121737
SOCS2	
SMUG1P1	
C16orf74	
ACAA2	
DNAAF3	
CHMP4BP1	
ATG14	
LINC01101	
PCGEM1	
LINC01945	
RNU6-1092P	
SEPTIN2P1	
MIR7705	
RNU6ATAC41P	
NBPF5P	
HMGN1P1	
FENDRR	
RPL7AP4	
RPS15AP14	
ABI1P1	
POLHP1	
RPS20P23	
CSAG1	
DPYD-AS2	
POU3F3	
ZFYVE26	
NBEAP2	
VANGL1	A_14_P111450
VANGL1	A_14_P121577
VANGL1	
PABPC1	
CKAP4	
MAGEA12	
CYTIP	
LINC02193	
GALNT4	
RPL22L1	
RPL35AP28	
CSAG4	
LINC00485	
MAGEA2	
EEA1	
FOXF1	
NEIL3	A_14_P135128
NEIL3	
CDYL2	
SCARNA17	
RNA5SP457	
ADAD1P2	
MIR4320	
RN7SL310P	
CFAP53	
LINC02788	
VPS25P1	
ASB5	
JOSD2	
LINC01780	A_14_P110542
LINC01780	
TENT5C	A_14_P116614
TENT5C	A_14_P131839
SPATA16	
RPL7AP15	A_14_P115847
LINC01731	
CSAG3	
LINC02572	
GAPDHP74	
KMT2CP3	
MBD1	
MAGEA6-DT	
	A_14_P118122
	A_14_P139902
MTND5P20	
CETN2	
SYCP1	A_14_P126405
SYCP1	A_14_P105817
SYCP1	
NDUFB5P1	
NSDHL	A_14_P100798
NSDHL	
MEIOSIN	A_14_P109711
TANK	A_14_P124419
TANK	
CHORDC1P3	
SPATA4	
RAX2	
MECOM-AS1	A_14_P114767
SLC1A2-AS1	
	A_14_P120123
MCUR1P2	
GNPATP	
OR52Q1P	
OR56A5	
MTND5P34	
MIR5587	
MIR3176	
MIR6859-4	
MIR3180-5	
MIR4717	
SNORD60	
RN7SL850P	
ATP1B3	
GUCY1A2	
MIR6769A	
ZNF724	
MIR3677	
MIR4516	
MIR3180-4	
MIR4718	
MIR940	
MIR3180-1	
MIR1972-1	
MIR6511B2	
MIR3179-3	
LINC02504	
MIR3670-3	
MIR6511A4	
MIR3180-3	
RNU4-46P	
MIR6511A1	
MIR6770-1	
RN7SL557P	
MIR6511B1	
MIR6770-3	
RNU6-1340P	
MIR3670-1	
MIR548W	
RNA5SP405	
MIR3670-4	
MIR3179-4	
RNA5SP409	
RNA5SP406	
RNU6-257P	
PNMA5	
RNA5SP408	
RNA5SP410	
RIC8B	A_14_P121888
RIC8B	A_14_P117365
RIC8B	
RIC8B	A_14_P118923
RNU6-845P	
RNA5SP413	
RNA5SP415	
RNA5SP416	
RNA5SP417	
RNA5SP418	
RNA5SP419	
ERCC1	
RNA5SP420	
RNA5SP421	A_14_P126402
RNA5SP422	A_14_P126402
RNA5SP423	A_14_P126402
VEGFC	
RNA5SP411	
RNA5SP412	
RNA5SP414	
EIF2S3	
RNA5-8SP2	
RNA5SP407	
RN7SL841P	
RNU4-58P	
MCHR1	A_14_P117741
MCHR1	
RNU6-21P	
RN7SKP76	
RNU7-90P	
RNU7-71P	
RNA5SP430	
RNU6-758P	
RN7SKP233	
RNA5SP433	
MIR4719	
MIR140	A_14_P108549
MIR6775	
RN7SL381P	
TUG1	
TUG1	A_14_P103365
KREMEN2	A_14_P119876
MTCO1P9	
ING2-DT	
LINC02477	
LINC01260	
GALNT7	
CCN5	
KLHL15	
FHIP1B	
STAG1-DT	
MTND4P17	
SDHDP3	
MID1	
PIP5K1A	
PIP5K1A	A_14_P138128
TMEM212	
SUN5	
IL2RB	
ERICH6	
NAF1	
HNRNPA3P10	
SLC37A2	A_14_P201355
SLC37A2	
SLC37A2	A_14_P110310
SRF	
CYCSP30	
HELLPAR	A_14_P202061
HELLPAR	A_14_P112861
HELLPAR	A_14_P123115
CRY1	
FAM205BP	
BPIFB2	A_14_P114197
CUL9	
CUL9	A_14_P108429
C9orf131	
CLDN24	
LINC02509	
RPL6P16	
MARK2P4	
LINC01634	
SPCS3-AS1	
USP18	
LINC01796	
GMPS	
RN7SL706P	
LINC01870	
RN7SL108P	
CAPZA1P2	
RPL7AP5	
PPIAP6	
ARFIP1	A_14_P133816
ARFIP1	A_14_P201568
ARFIP1	
RPL12P7	
PAPOLA-DT	
LINC02304	
RPLP0P3	
DNAJC8P1	
RPS3AP4	
RGPD8	
KRT18P6	
INSM2	A_14_P116654
BPIFB6	
PKMYT1	
QRSL1P3	
RN7SL338P	
PIGO-AS1	
STOML2	
NUTF2P2	
BRMS1L	A_14_P106355
BRMS1L	
SPEM2	A_14_P133677
E2F7	
PUDPP3	
BPIFB4	
TLCD5	
TLCD5	A_14_P131555
PPIAP74	
KRT18P35	
PKN1	A_14_P134902
PKN1	A_14_P119416
PKN1	
LINC02068	
BPIFA2	
TTC14-DT	
NAALADL2-AS1	
HPS4	
GDAP2	
HMGN2P26	
SLIT3	
USP47	A_14_P116603
USP47	A_14_P113961
USP47	A_14_P104892
USP47	A_14_P135080
USP47	A_14_P117308
USP47	A_14_P110028
USP47	
RILPL1	
LINC01208	
SOCS2P1	
BPIFA4P	
BPIFA4P	A_14_P116057
SLC2A2	
BPIFA3	A_14_P129684
ILF2P2	
NEFHP1	
VDAC2P3	
	A_14_P201233
ZNF839	
FTLP17	
HYDIN2	
FAM214B	
HSPE1P4	
LINC02418	
RPL35AP12	
WWC2-AS2	
TENM3	
TMTC3	
TMTC3	A_14_P120857
TMTC3	A_14_P134281
IKBKB-DT	
HIGD1AP12	
TSHB	A_14_P123161
BPIFA1	
DNPH1	
SOD2P1	
RPL5P23	
WDR3	
WDR3	A_14_P201561
AURKBP1	
RPS17P14	
EMC2	
EMC2	A_14_P100072
EMC2	A_14_P120057
STOX2	
BTF3L4P2	
LINC01937	
TTBK1	
CALCRL	
SLITRK3	
SPCS3	A_14_P127062
SPCS3	
LINC00578	
DUX4L7	
TRIML1	
TMEM88	
KCNQ5-DT	
MIR4282	
KNOP1P4	
PGAM1P10	
KCNQ5-AS1	
KRT8P13	
LINC01997	
CYB5D1	A_14_P113103
CYB5D1	A_14_P134541
CYB5D1	
PAQR4	A_14_P132786
PAQR4	
RBPMS2P1	
LINC02798	
KCNK9	
SKIL	
SKIL	A_14_P122861
KHDC1P1	
KHDC1L	
PSMC1P12	
KHDC1-AS1	
SLC22A15	
EDNRA	
EDNRA	A_14_P132706
	A_14_P134541
SCARNA21	
RPSAP41	
EIF3EP1	
SDCBP2P1	
PAICSP3	
OR5BJ1P	
DPPA5	
MIR3152	A_14_P116569
RN7SKP258	
RAP1BP1	
TRAPPC1	
LINC02394	
LINC02258	
SAXO1	
CPNE8-AS1	
ALPK3	A_14_P130689
ALPK3	
GREP1	
WSCD2	
CHRAC1	A_14_P111875
CHRAC1	
KHDC3L	
ELF5	
