hgnc_symbol	agilent_cgh_44b
ATP23	A_14_P127460
ATP23	A_14_P201054
GABBR1	
RPS9	A_14_P137001
DNAJC19P3	
TPM3P5	
RNA5-8SN4	
LINC01480	
CEACAM7	
PTPRN2	
MPHOSPH10P7	
IFITM4P	
LINC02403	
APBA2	
APBA2	A_14_P121452
GIHCG	
RN7SKP65	
LILRB2	
HLA-G	A_14_P131430
HLA-G	
KIR3DX1	
LILRA6	
ZFP57	
OR2H5P	
GPR53P	
OR2J2	
HLA-DRB9	
MSH5-SAPCD1	
PHLDA2	
CARS1	
FAM138D	
IQSEC3	
CTSO	
HERC2	
MROH5	
SPPL2C	A_14_P200482
ASIC5	
RPS7P11	
TDO2	
TDO2	A_14_P117363
MAS1LP1	
LINC01300	
HCG4	
DDX11L8	
SUMO2P1	
MDC1-AS1	
ZNRD1ASP	
HNRNPA1P38	
PTP4A3	A_14_P104818
PTP4A3	
SLC39A11	
KANSL1-AS1	
WHAMMP2	
IQSEC3-AS1	
MAPK8IP1P2	
WASH8P	
NSFP1	
RPL32P1	
OR2J1	
SLC5A8	
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	
GOLGA8G	
DHX16	
GPR20	
DLGAP2	A_14_P122441
DND1P1	
ANO4	A_14_P127973
ARHGAP27	
APOM	A_14_P139588
MAMDC2-AS1	
MAMDC2	A_14_P110617
MAMDC2	
HLA-K	
HSPA1B	A_14_P135562
HERC2P1	
HSP90AA4P	
OCA2	
C4B_2	A_14_P137370
C4B_2	
RPH3AL-AS2	
RPH3AL-AS1	A_14_P111380
RPH3AL-AS1	
RPH3AL	
RPL5P32	
PDCD6IPP2	
ABCB10P4	
GOLGA8M	
NSMCE3	
HERC2P9	
RPL41P2	
GOLGA6L25P	
GOLGA8F	
OR2U1P	
LINC00533	
MUC2	A_14_P201556
MUC2	A_14_P105720
MUC2	
MAPT-IT1	A_14_P125547
CHRFAM7A	
APBA1	
OR2H4P	
TRIM26BP	
SERPINF1	
WNT9B	
RPSAP2	
PPP1R10	
SCARF1	
TTYH1	
MAPT-AS1	
LINC02210-CRHR1	
MAPK8IP1P1	
LRRC37A4P	
NDUFB9P1	
NSF	A_14_P125270
NSF	
PRH2	
PRH2	A_14_P105383
ARHGAP11A	A_14_P135679
TRBV11-1	
TAF9	
TRBV7-6	
LINC02688	
TRBV10-1	
TRBV5-2	
TRBV7-4	
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	
TRBV1	
TRBV19	
TAS2R19	
TRBV12-4	
LINC02569	
TAS2R8	
OR2J4P	
TRBV7-1	
HCG18	
TAS2R7	
TRBV25-1	
LRRC37A2	
IGKV1D-8	
TRBV17	
IGKV3D-7	
TAS2R50	
TRBV5-3	
HNRNPA1P2	
TRBV7-9	
TAS2R43	
STK19	A_14_P200187
STK19	
STK19	A_14_P200186
TAS2R14	
TRBV5-7	
IGKV1OR2-118	
TRBV27	
TAS2R9	
TRBV7-2	
TRBV21-1	
TRPV5	
TAS2R45	
TAS2R31	
TAS2R13	
RAD17	
IGLV3-31	
TAS2R46	
KSR1P1	
IGLV1-40	
IGKV1OR10-1	
TAS2R20	
PABPC1P8	
TAS2R15P	
OR2AD1P	
ASH2LP1	
MAS1L	
PRR4	
IGLV3-30	
OR2H2	
IGLV1-44	
IGLV3-32	
ATAT1	
ZNF280B	
ARMC10	
ARMC10	A_14_P133257
DDR1-DT	
NEU1	
KCNQ1	
IGLVI-38	
HCG17	
IGLV2-34	
IGLV5-37	
TRPM1	
IGLV7-43	
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
PLEKHM1	
IGLV1-36	
ZNF280A	
KCNQ1-AS1	
TLCD2	
IGLV2-33	
NAP1L4	
IGLV5-45	
PRAME	
WDR81	
RPL23AP95	
DPY19L2P2	
HLA-DQB1-AS1	
TRIM39	
MYOM2	A_14_P129480
MYOM2	
MAPT	A_14_P115066
MAPT	A_14_P132491
MAPT	
SMIM10L1	
TAS2R64P	
TAS2R10	
TAS2R63P	
TRBV12-5	
RPP21	
TRBJ2-2P	
LY6G5C	
PRSS3P3	
TRBJ1-6	
TRBJ1-5	
TRBV11-2	
TRBV20-1	
CRHR1	
TRBV10-2	
LLCFC1	
NAPEPLD	
TRBV9	
PRSS3P1	
TRBC1	
TRBJ2-1	
HSPA1A	A_14_P200184
LILRB5	
OR2P1P	
UBDP1	
HLA-F-AS1	
TRPV6	
HSPA1L	
GPSM3	
IGLV7-35	
SCGB1C2	
C22orf15	A_14_P200599
C22orf15	
OR2I1P	
TSBP1-AS1	
HLA-B	
LINC02091	
KRT31	
RXRB	
CABIN1	
SMARCB1	A_14_P111527
SMARCB1	
AZU1	
TBC1D3P7	
SLC43A2	
KRT33A	
CRYZP1	
MICC	
LSM2	
KRT37	
PRTN3	A_14_P105136
KRTAP16-1	
KRT34	
TRBV6-7	
KRTAP17-1	
PRSS2	
	A_14_P130214
KRT33B	
TRBV7-3	
ZBED9	
TRBV18	
CCL4L2	
MOXD2P	
OR12D2	
PLPPR3	
PRSS1	
KRT18P1	
PRPF31	
PRRT1	
ATP6V1G3	
MED16	
CLIC1	
LENG8	A_14_P112622
LENG8	
LENG8	A_14_P103013
TJP1	
CCL3-AS1	A_14_P104212
CCL3-AS1	
TBC1D3I	
TRBV23-1	
PTPRC	
LY6G6E	
TRBV5-4	
PRSS3P2	
KBTBD11-AS1	
MIF	
KBTBD11	
OR6V1	
HCG21	
MRPS18B	A_14_P101539
MRPS18B	
OR9P1P	
PGBD4P1	
TRBJ1-4	
DOC2B	
MGAM2	
HLA-DOB	
LINC03021	
ARHGEF10	A_14_P108781
ARHGEF10	
ARHGEF10	A_14_P110976
DERL3	
ELANE	A_14_P112290
CNOT3	
LINC02887	
RILP	
CFD	A_14_P124724
HLA-DRB3	
OR9A2	
TRBV13	
MIR22HG	
TRBV28	
LINC01149	
MCCD1P2	
TRBJ2-2	
SLC2A11	
SLC2A11	A_14_P102374
EPHB6	
CDKN1C	
CCL3L1	
CCL3L3	
CARS1-AS1	
OR12D3	
COX6CP18	
DDX39BP2	
SLC22A18	
TBC1D3B	
TSBP1	
ARL17B	
PRPF8	
CCL18	
PSORS1C2	
HCP5	
SALL3	
GOLGA8J	
PEBP1P3	
TCF19	
LINC01896	
GREM1	A_14_P200387
ATP9B	
CHRNA7	
CES1P1	
CDK7	
CDK7	A_14_P126498
NCR3	
CES5A	
FAN1	A_14_P119127
PSORS1C3	
SLC22A18AS	
MAPT	A_14_P130889
KCNQ1DN	A_14_P117590
NLRP2	
NLRP2	A_14_P138556
SNORA54	
SAPCD1	
ETF1P1	
HLA-P	
SCG5	
TRBV6-5	
TRBV14	
TRBV12-1	
BRD2	A_14_P103093
BRD2	
TRBV4-2	
TRBV5-1	
MTMR10	
TRBJ2-6	
AGPAT1	
TRBV7-7	
TRBV2	
KLF13	
MGAM	A_14_P106911
MGAM	
DDAH2	
GSDMD	A_14_P132308
GSDMD	
HLA-W	
TNXA	
MTCO3P1	
HLA-DRB4	
TRBV16	
TRBVB	
TRBV6-1	
KANSL1	
CCL3	
PRSS58	
NCF4-AS1	
NCF4	
TRBV24-1	
POLR1H	A_14_P105584
POLR1H	
TRBJ2-7	
TRBJ1-3	
TRBVA	
TRBV26	
OR6W1P	
TRBV4-1	
TRBC2	
CUBNP2	
MARCHF8	
TRBV8-1	
TRBV22-1	
TRBV10-3	
TRBJ1-1	
