hgnc_symbol	affy_u133_x3p
RPS17	g4506692_3p_s_at
RPS17	g4506692_3p_x_at
RPS17	201665_3p_x_at
RPS17	Hs.5174.2.S1_3p_x_at
RPS17	Hs.5174.2.S1_3p_s_at
RPS17	g13436139_3p_s_at
RPS17	212578_3p_x_at
RPS17	211487_3p_x_at
GOLGA6L22	Hs2.125917.1.S1_3p_at
GOLGA6L22	1561171_3p_a_at
GOLGA6L22	Hs2.125917.1.S1_3p_s_at
GOLGA6L22	
SLC25A51P1	
ADH5P4	
AADACL2	Hs.100206.0.A1_3p_at
KRTAP3-4P	
GOLGA8EP	
KRTAP2-1	Hs.307031.1.S1_3p_at
SKA1	Hs.271252.0.A1_3p_at
SKA1	
METRNL	Hs.300870.3.S1_3p_at
KRTAP3-3	Hs.307025.0.S1_3p_at
LINC02066	
KRTAP2-3	Hs2Affx.1.428.S1_3p_at
AADACL2-AS1	
RNU6-821P	
ZNF43	206695_3p_x_at
ZNF43	Hs.224410.0.S1_3p_x_at
ZNF43	g4508026_3p_x_at
ZNF43	g4508026_3p_at
ZNF43	Hs.224410.0.S1_3p_at
KRTAP4-12	g13278824_3p_at
KRTAP1-4	
HERC2P2	
HERC2P2	Hs.266933.3.S1_3p_s_at
PAXBP1	
	Hs.307020.0.S1_3p_at
ZNF100	Hs.267124.0.A1_3p_at
ZNF100	
	Hs.307015.0.S1_3p_s_at
	Hs.307019.0.S1_3p_x_at
C21orf62	g9624970_3p_at
FRG1-DT	
CCNYL6	
HERC2P7	
SPATA31E3P	
GOLGA8IP	1556739_3p_at
GOLGA8IP	Hs2.375441.1.S1_3p_x_at
GOLGA8IP	Hs2.375441.1.S1_3p_at
C21orf62-AS1	Hs2.278739.1.A1_3p_a_at
C21orf62-AS1	1559755_3p_at
C21orf62-AS1	1557782_3p_s_at
C21orf62-AS1	Hs2.278739.1.A1_3p_s_at
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	
VN1R84P	
MTDHP4	Hs.128352.0.A1_3p_at
MAPK4	
CPEB1	g12659215_3p_a_at
CPEB1	g13443003_3p_a_at
CPEB1	
TBCD	g13623514_3p_s_at
TBCD	Hs.12570.0.S2_3p_at
TBCD	Hs.12570.1.S1_3p_at
TBCD	
	g13436346_3p_at
RNA5SP458	
LRRC56	Hs.221600.0.S1_3p_at
	Hs.79019.0.S1_3p_a_at
MPHOSPH10P9	
CTDP1-DT	
	Hs.7111.0.S1_3p_at
	Hs.103441.1.S1_3p_a_at
RPS6P22	
LRIG3-DT	
	Hs.308060.0.A1_3p_at
MAFIP	Hs.103441.1.S1_3p_a_at
SMN2	
SMN2	g13259515_3p_s_at
