hgnc_symbol	affy_hta_2_0
NAIP	TC05001455.hg
NAIP	
CNOT3	TC19000873.hg
CNOT3	
DRD4	TC11000023.hg
DRD4	TC11002491.hg
DRD4	TC11002490.hg
DEAF1	
	TC01001297.hg
CLK2	TC01003311.hg
CLK2	
OR2AS2P	
OR2T6	TC01002036.hg
OR2T2	TC01002038.hg
OR2T2	TC01004090.hg
	TC22001430.hg
	TC22001361.hg
OR2T4	TC01002035.hg
RDH13	TC19002722.hg
RDH13	TC19002583.hg
IRF7	TC11001241.hg
IRF7	
OR2T7	TC01004091.hg
OR2T1	TC01005175.hg
OR2T1	TC01002037.hg
BDH1	
OR2T3	ADDON002661.hg
OR2T3	TC01002039.hg
OR2T3	ADDON002520.hg
OR2T3	TC01006262.hg
TSEN34	TC19000874.hg
TSEN34	
OR2T5	TC01002040.hg
OR2T5	ADDON002731.hg
OR2T5	ADDON002453.hg
	TC14001556.hg
TMEM179	
TMEM179	TC14001553.hg
TMEM179	ADDON001874.hg
VSTM1	TC19001829.hg
VSTM1	
OR2W1	TC6_ssto_hap7000099.hg
OR2W1	TC6_dbb_hap3000105.hg
OR2W1	TC6_mcf_hap5000099.hg
OR2W1	TC6_qbl_hap6000108.hg
OR2W1	TC6_apd_hap1000055.hg
OR2W1	TC6_mann_hap4000095.hg
OR2W1	TC06001480.hg
OR2W1	TC6_cox_hap2000117.hg
	TC01002042.hg
	TC01004084.hg
NOP56P1	
	TC06000311.hg
	TC6_mann_hap4000005.hg
	TC06002679.hg
	TC06002681.hg
	TC6_ssto_hap7000006.hg
	TC6_apd_hap1000005.hg
	TC6_dbb_hap3000004.hg
	TC6_qbl_hap6000006.hg
	TC6_cox_hap2000008.hg
	TC6_dbb_hap3000001.hg
	TC6_mann_hap4000002.hg
	TC6_ssto_hap7000003.hg
	TC6_apd_hap1000002.hg
	TC06000306.hg
	TC6_cox_hap2000005.hg
	TC6_qbl_hap6000003.hg
OR14J1	
TRIM27	TC6_cox_hap2000115.hg
TRIM27	TC6_ssto_hap7000097.hg
TRIM27	TC06001474.hg
TRIM27	TC6_mcf_hap5000098.hg
TRIM27	TC6_qbl_hap6000106.hg
TRIM27	TC6_mann_hap4000093.hg
TRIM27	TC6_apd_hap1000053.hg
TRIM27	
GP6	TC19002721.hg
C14orf180	TC14000816.hg
MCCC2	
NCR1	TC19000886.hg
PKLR	TC01003312.hg
PKLR	
NLRP2	TC19000887.hg
LILRA4	
LILRA4	TC19002720.hg
	TC19001836.hg
	TC19002577.hg
HCG14	TC06000299.hg
HCG14	TC6_qbl_hap6000001.hg
HCG14	TC6_mcf_hap5000001.hg
HCG14	TC6_ssto_hap7000001.hg
HCG14	TC6_apd_hap1000001.hg
HCG14	TC06002675.hg
HCG14	TC6_cox_hap2000003.hg
HRAS	
HRAS	TC11001236.hg
RPL13P	
	TC06001469.hg
	TC6_mann_hap4000091.hg
	TC6_cox_hap2000113.hg
	TC6_dbb_hap3000102.hg
	TC6_ssto_hap7000095.hg
