hgnc_symbol	affy_hugene_1_0_st_v1
ALKBH1	NA
SYP-AS1	NA
EYA1	8151310
EYA1	NA
CACNA1F	8172580
CACNA1F	NA
STOML1	7990273
STOML1	NA
FBXO42	7912750
FBXO42	NA
RPL21P10	NA
ZMYND19P1	NA
SLIRP	7975989
ALDH4A1	7912975
ALDH4A1	NA
CAPN14	8051319
CAPN14	NA
SLC25A1P1	NA
MAPK12	8076937
MAPK12	8076962
MAPK12	NA
CSNK1A1P3	NA
PSMA2P1	NA
MUC15	7947156
MUC15	NA
LMNB1-DT	NA
RPL37P25	NA
CCT7P2	NA
LINC01848	NA
SEPTIN7P10	NA
LMNB1	8107706
LMNB1	NA
ADCK1	7976000
ADCK1	NA
RPL36AP14	NA
IL10RB	8068254
IL10RB	NA
OR10H4	8026494
	8035146
	8035639
	8035646
	8035648
PLEKHB1	7942453
PLEKHB1	NA
SLC52A3	8064388
SLC52A3	NA
MSH2	8041867
MSH2	NA
GTPBP3	8026735
GTPBP3	NA
ARFGEF2	8063242
ARFGEF2	NA
INIP	8163428
RERE	7912166
RERE	NA
ETV4	8015806
ETV4	NA
	7980477
CNTN6	8077299
CNTN6	NA
AP4E1	7983679
AP4E1	NA
LINC02914	7976635
NREP	NA
NREP	8113504
TMEM151B	NA
TMEM151B	8120004
	7979031
SNRPGP1	NA
SAV1	NA
SAV1	7979033
RPL32P15	NA
RPL21P66	NA
PSMC1P8	NA
ADGRF1	8126820
ADGRF1	NA
RN7SL452P	7979042
ZFP64P1	NA
EHMT1	8159702
EHMT1	NA
EHMT1	8159732
PRICKLE1	7962375
PRICKLE1	NA
PYGL	7979085
PYGL	NA
MAPK11	8076978
MAPK11	NA
TTC3-AS1	NA
DSCR9	8068543
RN7SL678P	8068549
VPS26C	NA
VPS26C	8070269
HSPB1P2	NA
CCDC22	8167457
CCDC22	NA
TRMT11	8121895
TRMT11	NA
TTC3	8068522
TTC3	NA
LINC02568	NA
FAM210B	8063478
FAM210B	NA
MYRIP	8078933
MYRIP	NA
AURKA	8067167
AURKA	NA
ATP8B4	NA
ATP8B4	7988644
ABHD12B	7974288
ABHD12B	NA
C22orf39	8074432
C22orf39	NA
C22orf39	8074458
PPP1R3F	8167476
PPP1R3F	NA
TILRLS	NA
LINC02242	NA
EPB41L4A-DT	8107328
ZNF182	8172369
IL9	8114256
MEI1	8073474
MEI1	NA
KCNK17	8126163
PNMT	8006900
ANO8	8035278
ANO8	NA
ZNF630	8172379
ZNF630	NA
CLCN6	7897774
CLCN6	NA
LASP1	8006820
LASP1	NA
LASP1	8006834
MIR583HG	NA
TGFBI	8108217
TGFBI	NA
COL21A1	8127201
COL21A1	NA
DLST	NA
DLST	7975747
GDF7	8040479
BNIP3P18	NA
	8073511
SREBF2-AS1	8076384
XDH	8051322
XDH	NA
SREBF2	8073522
SREBF2	NA
PARP11	7960383
PARP11	NA
	8027205
LINC02720	NA
CDK5R1	8006409
CDK5R1	NA
ZNF630-AS1	NA
SSX6P	NA
SSX6P	8167220
FAM32A	8026541
FAM32A	NA
UBTFL10	NA
MSANTD3P1	NA
FGF3	7950036
ZSWIM5P2	NA
RNU6-707P	NA
SSXP3	NA
S100A11P5	NA
RNA5SP503	8167249
	8167251
S100A11P7	NA
S100A11P6	NA
TRIM53BP	NA
	8172395
OR2AT2P	NA
CSTF2	8168762
CSTF2	NA
NPM1P50	7894919
NPM1P50	7892853
LINC02748	NA
MS4A19P	NA
VAV2	8164967
VAV2	NA
GSDMA	8006968
GSDMA	NA
GOLGA6GP	NA
GOLGA6GP	7985221
GOLGA6GP	7990654
POLD3	NA
POLD3	7942527
BABAM1	8026698
BABAM1	NA
MAP1A	7983228
TUFMP1	NA
LINC00672	NA
CELA2A	7898176
CELA2A	NA
CRACR2A	7960365
CRACR2A	7960370
CRACR2A	NA
CRACR2A	7960381
ORMDL3	8014916
ORMDL3	NA
LIPC-AS1	NA
LOXL1	7984771
LOXL1	NA
FTH1P6	NA
ITGB2	8070826
ITGB2	NA
SATL1	8173862
SATL1	NA
PRKCE	NA
PRKCE	8041763
RPS6KL1	7980219
RPS6KL1	NA
BHMT2	8106494
BHMT2	NA
BHMT2	7895938
IGDCC4	7989785
IGDCC4	NA
CELA2B	7898184
CELA2B	NA
UBQLN2	8167924
SLITRK2	8170319
SLITRK2	8170307
GTF2IP6	NA
HSPA8P5	NA
MRPS18CP4	NA
P3H4	8015432
P3H4	NA
PRRG1	8166705
PRRG1	NA
MIR33A	8073544
TNFRSF13C	8076387
MIR378I	NA
RERG	7961540
RERG	NA
CENPM	NA
CENPM	8076393
DNAJC5B	8146660
DNAJC5B	NA
SMIM32	NA
EDIL3	8112980
EDIL3	NA
NDUFB10P1	NA
LINC02204	NA
RER1	NA
RER1	7897078
RFTN1	NA
RFTN1	8085665
PRPS2	NA
PRPS2	8166049
BTF3P1	NA
TUBB8P5	NA
PTDSS1	8147447
PTDSS1	NA
PGF	7980233
PGF	NA
	7989159
KLRK1-AS1	NA
PHAX	8107691
PHAX	NA
DERA	7954185
DERA	NA
LMAN1L	7984892
LMAN1L	NA
LMAN1L	7984908
LHCGR	8052058
LHCGR	NA
TNS4	NA
TNS4	8015016
NIM1K	NA
NIM1K	8105146
	7894919
	7892853
SMIM45	8073546
SMIM45	NA
WBP2NL	8073562
WBP2NL	NA
TMEM250	NA
TAF1D	7951008
TAF1D	7951034
TAF1D	7951038
TAF1D	NA
TAF1D	7951036
TAF1D	7951032
ATRX	8176276
ATRX	8173673
ATRX	NA
SETX	NA
SETX	8164701
KRT18P45	NA
COPRS	8014073
LINC01340	NA
LINC02161	NA
RNF138P1	NA
MTND6P22	8107113
RIOK2	8113286
RIOK2	NA
RIOK2	8113299
EIF2B2	7975760
EIF2B2	NA
SLC25A5P1	NA
NAGA	8076403
MTND5P40	NA
GPATCH8	8016077
GPATCH8	NA
MNS1	NA
MNS1	7989146
LINC01884	NA
LINC01318	NA
LINC00211	NA
ZFYVE9P2	NA
RPL11P1	NA
KCNG3	8051785
LINC02468	NA
NPM1P52	NA
REXO1L9P	8151625
REXO1L9P	8151629
REXO1L9P	8151609
REXO1L9P	8151607
REXO1L9P	8151621
REXO1L9P	8151627
REXO1L9P	8151613
REXO1L9P	8151623
REXO1L9P	8151617
REXO1L9P	8151615
REXO1L9P	8151603
REXO1L9P	8151619
REXO1L9P	8151631
REXO1L9P	8151605
PTGES	8164580
RPL30P10	NA
TNFRSF11B	8152512
MLH3	7980246
MLH3	NA
GJA1P1	8113467
TAF11L14	NA
GALK2	NA
GALK2	7983616
RMDN2-AS1	NA
TSSK6	8035684
TTF1	8164729
TTF1	NA
CMTM8	8078397
NDUFA13	8027205
NDUFA13	NA
IRX1	8104314
STRN	8051443
STRN	NA
CSTF1	NA
CSTF1	8063484
SRSF6P2	NA
USP32P3	8005689
USP32P3	8013262
USP32P3	8005231
USP32P3	8005687
USP32P3	8013268
USP32P3	NA
	8129095
	7896434
RPS27AP11	7894813
PRR16	8107563
LINC02880	8121569
CHCHD4	8085481
GUSBP16	8104621
GUSBP16	8111455
GUSBP16	8105995
GUSBP16	8112560
GUSBP16	8112558
GUSBP16	8177544
GUSBP16	8112491
GUSBP16	8112564
GUSBP16	8105991
GUSBP16	8112469
GUSBP16	8124469
GUSBP16	8177669
GUSBP16	8105937
GUSBP16	8074925
AOC3	8007420
AOC3	8007427
TPT1P5	NA
RPS26P6	8007797
RPS26P6	8154363
RPS26P6	8102410
ERRFI1-DT	NA
LECT2	8114263
LECT2	NA
HBS1L	8129706
HBS1L	NA
SUMO2P18	NA
PHETA2	8073573
NASPP1	NA
SDCBPP2	NA
NCAN	8027152
NCAN	NA
LINC02247	NA
BRD3OS	8159109
BRD3OS	NA
GRM7	NA
GRM7	8077472
LINC02847	NA
SDR16C6P	NA
SNORD13P1	8076415
CCDC134	NA
CCDC134	8073513
VPS13D	7897890
VPS13D	NA
VPS13D	7897953
VPS13D	8005626
LINC01288	NA
	8105631
PICALM	7950838
PICALM	NA
SNAI2	8150698
LINC02661	NA
NPAP1P4	NA
LIX1-AS1	NA
HABP2	7930561
HABP2	NA
RALGPS1	8157949
RALGPS1	NA
FAM83G	8013312
FAM83G	NA
TICAM2-AS1	NA
CENPA	8040712
RNU7-167P	NA
HMGXB4	NA
HMGXB4	8072645
RPS12P15	NA
CDH6	8104663
CDH6	NA
MTBP	NA
MTBP	8148124
PCED1B	7955045
RPL39P	NA
RTF2	8063509
RTF2	NA
RTF2	8063522
SUGP1	8035666
SUGP1	NA
RPS27P18	NA
KCNK18	7930833
NT5C3B	8015445
NT5C3B	NA
NKX1-2	7936882
LHPP	7931204
LHPP	NA
B4GALNT3	7952927
B4GALNT3	NA
RNU6-689P	7975770
DBIL5P2	8052594
ACYP1	7980265
ACYP1	NA
FBXL12P1	NA
MEIS1-AS2	NA
HOMER1	8112841
HOMER1	NA
EFEMP1	8052355
EFEMP1	NA
RPL31P41	NA
LINC01609	NA
ZC2HC1C	NA
ZC2HC1C	7975772
DHX32	7936949
DHX32	NA
RPSAP48	NA
MTERF3	8151917
MTERF3	NA
HIF1AP1	NA
LINC01547	8070853
LINC01547	8070847
TMED10	7980296
TMED10	NA
LINC02386	NA
MIR3909	NA
MIR6069	NA
MCM5	NA
MCM5	8072687
SLC38A4	7962559
SLC38A4	NA
KRTAP26-1	8069804
KRTAP27-1	8069808
KRTAP13-6P	NA
KRTAP13-2	8069813
MIR4327	NA
KRTAP13-1	8068130
COX6CP10	NA
	8078319
KRTAP13-5P	NA
KRTAP15-1	8068139
RNU4ATAC14P	7980304
KRTAP19-1	8069822
	7936925
KRTAP19-2	8069827
SERPINA4	7976481
TEX36-AS1	NA
KRTAP19-3	8069831
FGD5	NA
FGD5	8078066
KRTAP19-4	8069836
KRTAP19-5	8069838
HTRA1	7931097
HTRA1	NA
KRTAP19-9P	NA
KRTAP19-10P	NA
KRTAP19-11P	NA
H3P23	NA
KRTAP19-6	8069841
KRTAP19-7	8069845
KRTAP22-2	NA
KRTAP6-3	8068145
FSTL4	8114119
FSTL4	NA
KRTAP22-1	8068151
KRTAP20-1	8068154
KRTAP20-4	8068157
KRTAP20-2	8068161
KRTAP20-3	8068164
KRTAP21-3	NA
KRTAP21-4P	NA
KRTAP21-2	8069855
KRTAP21-1	8069859
KRTAP21-1	8180322
KRTAP23-1	8069811
KRTAP13-3	8069818
RNU6-426P	8069559
VDAC2P1	NA
RPS26P5	NA
SNORD74B	NA
CAMSAP1-DT	NA
MIR99A	8067944
MIR99A	8067942
MIRLET7C	8067944
MIR125B2	8067946
RNU1-98P	8067948
MVB12B	8157905
MVB12B	NA
TIAM1	8069880
TIAM1	NA
PPIAP85	NA
DSCC1	8152582
DSCC1	NA
SERPINA5	NA
SERPINA5	7976488
EGLN3P1	NA
ETFBKMT	7954701
ETFBKMT	NA
FAM209A	8063526
REXO1L2P	8151625
REXO1L2P	8151629
REXO1L2P	8151609
REXO1L2P	8151607
REXO1L2P	8151621
REXO1L2P	8151627
REXO1L2P	8151613
REXO1L2P	8151623
REXO1L2P	8151617
REXO1L2P	8151615
REXO1L2P	8151603
REXO1L2P	8151619
REXO1L2P	8151631
REXO1L2P	8151605
MRPL13	NA
MRPL13	8152597
	8063524
FAM209B	8063531
LINC02147	NA
CASS4	8063497
EGFLAM-AS4	NA
LSM6P2	NA
LINC01455	NA
FCN2	8159211
THBS4	NA
THBS4	8106573
AMN1	7962185
AMN1	NA
FSHR	8052072
FSHR	NA
LINC01613	NA
CHRNA3	NA
CHRNA3	7990714
SNX30-DT	NA
BORCS8-MEF2B	8035612
BORCS8-MEF2B	NA
NDUFAF5	8061019
NDUFAF5	NA
PAPPA	8157487
PAPPA	NA
RRAGB	8167897
RRAGB	NA
	8140942
	8055978
	8105504
GUSBP14	8104621
GUSBP14	8112560
GUSBP14	8177544
GUSBP14	8112564
GUSBP14	8105991
GUSBP14	8112469
GUSBP14	8177669
MTND1P5	8147746
MTND1P5	8147748
MTND1P5	8147750
MKI67	7937020
MKI67	NA
HMOX1	NA
HMOX1	8072678
CCN3	8148049
	7976496
SERPINA3	7976496
SERPINA3	NA
NNT	NA
NNT	8105153
NRBF2P4	NA
LINC01414	NA
TNPO1P3	NA
GALNT12	8156770
GALNT12	NA
G6PC1	8007429
G6PC1	NA
SUMO2P20	NA
VSIG1	8169263
VSIG1	NA
TMEM74	NA
TMEM74	8152335
FBXO32	8152703
FBXO32	NA
KIAA0930	8076690
KIAA0930	NA
RPS13P3	7893850
RPSAP4	NA
EHD3	8041225
RPL15P2	NA
ADIPOR1P2	NA
SERPINA13P	7976506
TSPAN7	8166784
TSPAN7	NA
CNIH1	7979250
STARD3	8006896
STARD3	8006877
STARD3	NA
RASAL3	NA
RASAL3	8035050
ZNFX1	8066905
ZNFX1	NA
	8052058
EIF4A1P3	8164696
PDZD8	7936559
PDZD8	NA
ACTG1P19	NA
WDR5-DT	NA
MYO9A	7990092
MYO9A	NA
	8052733
	8052703
	8052719
	8052731
BAG1	NA
BAG1	8160647
PAPOLG	8042119
PAPOLG	NA
KLRA1P	7961198
DUX4L14	7931665
DUX4L14	8176570
DUX4L14	8098732
DUX4L14	7931662
DUX4L14	8098730
DUX4L14	7931671
DUX4L14	8098740
DUX4L14	8098725
DUX4L14	7931659
DUX4L14	7931668
DUX4L14	8176572
DUX4L14	7931656
DUX4L14	8098743
DUX4L14	8104122
FAM24A	7931155
TEX36	7936918
MRPL15	8146448
HMGB3P12	NA
LINC02674	NA
TCERG1L-AS1	NA
UBE2E2-DT	NA
CFP	8172333
CFP	NA
EEF1AKMT2	NA
EEF1AKMT2	7936891
PDCD6IP	8078479
PDCD6IP	NA
GMFB	7979260
GMFB	NA
NANOGNB	7953670
ZFAS1	8063337
ZFAS1	NA
ZFAS1	8063345
LINC02758	NA
XIAPP2	NA
SGSM1	8071953
SGSM1	NA
SH3BGR	8068620
SH3BGR	NA
FCHSD2	7950248
FCHSD2	NA
STRAP	7954173
STRAP	NA
TM9SF3	7935320
TM9SF3	NA
OLFML2A	8157804
DDX3X	8166876
DDX3X	NA
SBF1P1	NA
DEPTOR-AS1	NA
ZNF572	8148276
RPL31P33	NA
LIN28B	NA
LIN28B	8121251
LYPLA1	8150830
LYPLA1	NA
C19orf44	8026568
C19orf44	NA
KRT18P9	NA
KRT18P24	7969574
KRT18P24	8154725
FABP7	8121784
SPATA31B1P	8156253
RFC5P1	NA
SKA2P1	8157691
CDC20P1	8156194
SAMD4A	NA
SAMD4A	7974425
CAVIN4	8156919
LINC01509	NA
HINT3	8121886
LINC02575	NA
GATD3	NA
GATD3	8069026
YAP1P3	NA
KRT18P50	NA
EEF1A1P42	NA
LINC02955	NA
IFNWP15	NA
	8063345
SEPTIN7P7	NA
SNORD12C	8063345
CALHM6-AS1	NA
IL9RP1	NA
SNORD12B	NA
MTND2P8	8161913
SNORD12	NA
PARD6B	8063410
RRAGD	8128123
RRAGD	NA
CHMP5	8154785
CHMP5	NA
CRB3P1	NA
NBPF21P	NA
LINC01797	NA
PGAM1P6	NA
PRKCE-AS1	NA
TMSB4XP6	8158240
TMSB4XP6	8067007
TMSB4XP6	8166072
TMSB4XP6	8101774
PSMD10P1	NA
ADNP-AS1	NA
LINC01824	NA
MOCS3	8063427
RPL12P12	7896374
RPL12P12	7894321
RPL12P12	8065254
RPL12P12	7895317
RPL12P12	7893309
RPL12P12	7894774
CCDC184	7955107
NAA20	8061262
NAA20	NA
RPL7P12	NA
IFITM3P6	NA
LINC01883	NA
ENDOU	7962608
ENDOU	NA
NDUFAB1P1	NA
OR4F8BP	7911345
OR4F8BP	7896744
OR4F8BP	8110672
OR4F8BP	8148962
GABBR2	8162777
GABBR2	NA
GABBR2	7895165
VN1R80P	NA
CYP4F22	8026424
CRNKL1	8065256
CRNKL1	NA
HADHB	NA
HADHB	8040639
EPB41L2	NA
EPB41L2	8129497
ZDHHC16	7929634
ZDHHC16	NA
RPL7AP74	NA
LINC01267	NA
HTR6	7898594
LINC00477	7961820
H3-5	7962194
SUMF1	NA
SUMF1	8085094
GUCD1	8075009
GUCD1	NA
RPL10P17	NA
RBP7	7897522
RNU6ATAC9P	7974445
MIR4308	NA
FDPSP3	NA
YJEFN3	8027213
WDHD1	7979281
WDHD1	NA
GPR157	7912239
GPR157	NA
ZBTB40	NA
ZBTB40	7898750
F2	7939706
F2	NA
INTS13	7961964
INTS13	NA
KRTAP13-4	8068136
KRTAP6-2	8069848
KRTAP6-1	8069852
	8070632
CAPN3	NA
KRT16P3	NA
KRT16P3	8013465
AMOTL1	NA
AMOTL1	7943263
MEOX1	8015821
ENO1-AS1	NA
MICOS10-NBL1	7898585
MICOS10-NBL1	7898574
DDX10P2	NA
HOMER3-AS1	NA
RPS19P6	NA
NFYCP2	8162187
RNA5SP279	8154057
MIR4665	NA
RNU6-1073P	8159846
MIR101-2	8154176
RNU2-47P	8160084
RN7SL98P	8160256
RNU6-246P	8154414
RN7SL123P	NA
SCARNA8	8160295
RNU6-264P	8154527
MTDHP2	NA
	8154529
RNU6-319P	8160236
BNIP3P19	NA
RN7SL720P	8154447
RNU6-14P	8160258
RN7SKP120	8160470
RN7SL25P	NA
RN7SL849P	8160086
RMRPP5	8154660
	8154763
RNU4ATAC15P	8154777
MIR4475	NA
MIR4540	NA
MIR4476	NA
	8160661
USHBP1	8035254
USHBP1	NA
SPRYD3	7963577
SPRYD3	NA
	8155246
DHX8	NA
DHX8	8007505
	8155248
RNU6-677P	NA
RNA5SP530	NA
CNN2P6	NA
RN7SL565P	8155528
RN7SL565P	8161507
MIR4477A	NA
RN7SL343P	8155369
RN7SL343P	8155338
RNA5SP283	8161476
RNA5SP283	8155596
RN7SL462P	8155369
RN7SL462P	8155338
MTND4LP18	8156339
MTND4LP18	7942816
RNU6-1293P	8161566
RNU6-1293P	7972979
RNU6-1293P	8161482
RNU2-5P	8161644
RN7SL570P	8161642
RNA5SP285	8161745
OR7E13P	7950883
	8161737
RNA5SP286	NA
RN7SKP47	8155877
RNU6-445P	8155881
	8161852
RN7SL422P	8155369
RN7SL422P	8155338
RN7SKP59	8156024
RNU6-1303P	8161904
RN7SKP242	NA
RNU4-15P	8161986
RNU2-36P	7948894
RNU2-36P	8162177
RNU4-29P	8156110
NPHP4	NA
NPHP4	7911902
H3P34	NA
RN7SKP264	8162140
RNU6-1228P	NA
MIR4290	NA
MIR3910-1	NA
TRIM77	NA
MIR3910-2	NA
MIR4291	NA
MIR4289	NA
RNU6-1160P	8162584
	8156748
RN7SKP87	8162868
	8068883
RNU6-996P	8163011
RNU6-329P	8156969
RNU6-492P	8163000
RNA5SP291	NA
RN7SL659P	8163015
RNU6-1064P	8163013
MIR7702	NA
RNU6-855P	8157227
	8157229
RNA5SP293	NA
	8070655
MIR3927	NA
RNU6-432P	8157189
RNY4P18	8163271
	8157191
	8157485
RNA5SP294	8163326
OR7E2P	NA
	8157151
RN7SL57P	8163424
RNA5SP295	8157231
RNA5SP295	8053057
	7942769
RN7SL430P	8163426
RBMS3	NA
RBMS3	8078330
MIR147A	8163729
RNU6-710P	8163381
RNU4-82P	8164129
RN7SL302P	8157798
RNU6-1039P	8163253
MIR455	8157444
MIR181A2	8157800
MIR181B2	8157802
CEP295	7943126
CEP295	NA
NRON	NA
	8164696
CACNG2	8075820
CACNG2	NA
RN7SL30P	8164194
MIR3689F	NA
RNU5D-2P	8158910
RNU6ATAC	8112176
RNU6ATAC	8107855
MIR4669	NA
MIR3689A	NA
MIR3689C	NA
MIR3689D1	NA
MIR3689D2	NA
RN7SL328P	8164694
MIR3689B	NA
MIR3689E	NA
MIR602	NA
RNU6-785P	8102530
RNU6-785P	8031997
RNU6-785P	8137668
RNU6-785P	7911331
RNU6-785P	7927089
RNU6-785P	7998115
RNU6-785P	7924463
RNU6-785P	7945347
RIN2	NA
RIN2	8061247
LINC02402	NA
RPSAP13	NA
SLC5A4	8075569
SMOC1	NA
SMOC1	7975390
SLC2A8	8158009
SLC2A8	NA
DBX2-AS1	NA
SLC34A2	8094441
SLC34A2	NA
RERG-IT1	NA
	8069026
	8069003
ASB8	7962783
ASB8	NA
RNF24	8064766
LARGE1	NA
LARGE1	8075637
ZNF486	8027260
FER1L6-AS1	8152734
	8070720
CASC11	NA
HEATR4	NA
HEATR4	7980024
TCF7	8108050
TCF7	NA
MRPS36P3	NA
ZNF682	NA
ZNF682	8035782
MATN2	8147516
MATN2	NA
FTLP3	8060738
RPL21P2	7999360
RPL21P2	7893259
MAML2	7951133
NSFL1C	8064438
NSFL1C	NA
	8070173
	8068375
DISC1FP1	NA
	8053785
	7950951
	8054075
	7939893
	7943047
	8043581
	8068898
CBX3P7	NA
	8070665
FEZ2	NA
FEZ2	8051427
MTMR12P1	NA
MIR4300HG	NA
FRMD6	NA
FRMD6	7974316
	8035249
PHF5CP	NA
CHERP	8035156
CHERP	NA
	8068894
MESTP3	NA
RSF1-IT2	NA
	8070681
AQP11	7942774
RPS26P24	NA
ZNF876P	8093332
UBE2L2	NA
PAXBP1-AS1	NA
PPP1R1A	7963826
PPP1R1A	NA
ARAP1-AS1	NA
HPRT1P3	NA
DDI1	7943521
HAP1	NA
HAP1	8015396
LINC02940	NA
LINC02553	NA
ITGB2-AS1	NA
TYR	7948085
TYR	7942991
ICOSLG	8070720
STMN1P1	NA
TMEM117	NA
TMEM117	7954985
LINC01714	NA
OSBPL9P2	NA
RUNX3-AS1	NA
LINC02380	NA
HSPD1P13	NA
IFNAR1	8068266
IFNAR1	NA
MMP8	7951246
MMP8	NA
MT1XP1	NA
ZBTB12BP	8099924
ZBTB12BP	8178683
ZBTB12BP	8125201
	7898582
SULT1B1	8100798
SULT1B1	NA
CLIC4	7898988
SMTN	NA
SMTN	8072413
SCAND1	8066031
HCK	8061668
HCK	NA
MED1	8014841
MED1	NA
TEX49	7955135
ARHGEF19-AS1	NA
DYNLL1P3	7898535
SLC2A13	7962325
SLC2A13	7962327
SLC2A13	NA
SRGAP3-AS1	NA
SZRD1	NA
SZRD1	7898328
SLC22A13	8078759
SLC22A13	NA
OCIAD1-AS1	NA
SMIM14	8099912
SMIM14	NA
HNRNPCP8	7895574
LINC02719	NA
ZNF79	8158022
	8070081
LINC01690	NA
LINC03020	NA
IFNAR2	8068238
IFNAR2	NA
OR10A7	7955983
FBXO43	8152031
TMTC1	7962058
TMTC1	NA
ATP5MJ	7981481
ATP5MJ	NA
ANKRD17-DT	NA
RPL12	8047635
RPL12	7894321
RPL12	8063473
RPL12	7895317
RPL12	8164210
RPL12	7895112
RPL12	8125750
RPL12	7894774
RPL12	8164215
ZNF714	NA
ZNF714	8027285
SNX18P25	NA
SDCBP	8146550
SDCBP	NA
KCTD8	8100070
KCTD8	NA
HMGB1P44	NA
MTND3P5	8099719
MTND3P5	8099717
MTND6P16	8095337
HNRNPA1P67	7893164
LINC02261	NA
HMGN1P17	NA
PDIK1L	NA
PDIK1L	7899087
SDAD1	NA
SDAD1	8101099
LINC01339	NA
VN1R79P	NA
CTNNA1-AS1	NA
VN1R82P	NA
BNIP3P10	NA
ATG10-AS1	NA
RBBP4P6	NA
NECAP2	7898337
NECAP2	NA
CILP2	8027222
CILP2	NA
HMGCS1	8111941
HMGCS1	NA
VDAC2P5	8042335
VDAC1P13	NA
DHRS2	NA
DHRS2	7973433
SFXN4	NA
SFXN4	7936641
SNORA65	8164215
	8158057
IGFBP4	8007100
SLC3A1	8041727
SLC3A1	NA
NIBAN2	8164217
NIBAN2	NA
RPS12P5	NA
PBX4	NA
PBX4	8035694
PBX4	7894037
RPL9P30	NA
TPRXL	8077989
TPRXL	NA
TMIGD1	8014025
IGSF21-AS1	NA
MICOS10-DT	NA
C12orf40	7954794
PPIAP34	7913556
LAPTM5	7914270
LAPTM5	NA
CRTC1	8027053
MAP1B	NA
MAP1B	8106098
BECN1	8015715
BECN1	NA
LRRN1	8077366
LRRN1	NA
NPC2	7980146
SLC30A2	7913896
SLC30A2	NA
NANOG	7953675
NANOG	7987365
NANOG	NA
RPL23AP38	8085058
RHBDF1P1	NA
VENTXP4	NA
CFAP300	7943387
CFAP300	NA
RPS24P8	7895687
H3P11	NA
KCNH8	8078196
KCNH8	NA
	7896064
	7894682
LINC02667	NA
DUX4L20	7931665
DUX4L20	8176570
DUX4L20	8098732
DUX4L20	7931662
DUX4L20	8098730
DUX4L20	7931671
DUX4L20	8098740
DUX4L20	8098725
DUX4L20	7931659
DUX4L20	7931668
DUX4L20	8176572
DUX4L20	7931656
DUX4L20	8098743
DUX4L20	8104122
MMP21	NA
MMP21	7936928
PHACTR4	NA
PHACTR4	7899455
SLC38A1	7962516
SLC38A1	NA
MMP27	7951235
PPP2R2D	7931405
PPP2R2D	NA
ARHGAP8	NA
DDX27	8063315
DDX27	NA
GNAI2	8079950
GNAI2	NA
GNAI2	8079964
ASS1P13	NA
KBTBD3	7951429
KBTBD3	NA
ZNF93	NA
ZNF93	8180217
ZNF93	8035779
ZNF93	8027247
LINC02224	NA
TH2LCRR	NA
SNW1	7980463
SNW1	NA
	8107942
	8107934
	8068254
	8068238
PTRH1	NA
PTRH1	8164235
ARHGAP42	7943349
ARHGAP42	7943369
ARHGAP42	NA
SUMO2P19	NA
LINC01181	NA
IFITM3P7	NA
ESM1	8112045
ESM1	NA
BNIP3P27	NA
EEF1A1P37	NA
VN1R78P	NA
BNIP3P9	NA
BNIP3P15	NA
DEPTOR	8148059
CASC2	NA
CASC2	7930861
LINCADL	NA
BNIP3P17	NA
LAMTOR3P2	NA
COQ10BP2	NA
PSD2-AS1	NA
BNIP3P13	NA
	8007503
ZNF257	8180285
ZNF257	8027323
ZNF257	NA
LINC01950	NA
CNKSR1	7899101
CNKSR1	NA
LINC01332	NA
ARL4D	8007493
PRELID3BP8	NA
AFM	8095663
AFM	NA
RGMB	8107100
RGMB	NA
LINC01671	NA
CNTD1	8007388
CNTD1	NA
LINC00323	NA
ZNF729	8027332
LINC01873	NA
MIR3911	NA
ZNF492	8027345
ZNF492	8035831
CFAP157	8158081
CFAP157	NA
RARRES2P2	NA
MOB4P1	NA
DUX4L25	7931665
DUX4L25	8176570
DUX4L25	8098732
DUX4L25	7931662
DUX4L25	8098730
DUX4L25	7931671
DUX4L25	8098740
DUX4L25	8098725
DUX4L25	7931659
DUX4L25	7931668
DUX4L25	8176572
DUX4L25	7931656
DUX4L25	8098743
DUX4L25	8104122
LINC01163	NA
ACTBP4	8113936
	8113784
ANXA4	NA
ANXA4	8042468
LINC01170	NA
SEC63P2	NA
CABS1	8095484
CUZD1	7936798
CUZD1	NA
NDUFS5P6	NA
MTND1P7	8150580
MTND1P7	8150582
MTND1P7	8150584
HOXB9	8016476
CCL28	8111932
CCL28	NA
LINC00649	NA
LINC00649	8068350
TTC16	8158094
TMPRSS11B	8100701
TMPRSS11B	NA
TRIM51BP	7943019
TRIM51BP	7950977
BHLHE22-AS1	NA
	8180209
	8005444
PPIAP54	NA
	8027258
ZNF624	8013035
ZNF624	NA
TOMM20P1	NA
PPIAP43	NA
UBXN2B	8146544
TRIM64DP	NA
LINC01678	NA
KLHL26	8027049
KLHL26	NA
LINC00319	8068894
LINC00319	NA
RANP3	NA
HMGN2P38	NA
	7892530
ANKRD55	8112159
ANKRD55	NA
BIRC3	7943413
BIRC3	NA
MTG2	NA
MTG2	8063857
ST3GAL1P1	NA
LINC02493	NA
INSYN2A	7937007
TOR2A	8164243
TOR2A	NA
SMR3B	NA
SMR3B	8095491
MIR99AHG	NA
MIR99AHG	8067946
MIR99AHG	8067942
MIR99AHG	8067944
CDC25B	8060675
CDC25B	NA
SLC35E1	NA
SLC35E1	8035177
DUX4L23	7931665
DUX4L23	8176570
DUX4L23	8098732
DUX4L23	7931662
DUX4L23	8098730
DUX4L23	7931671
DUX4L23	8098740
