hgnc_symbol	phalanx_onearray
YTHDC1	PH_hs_0022198
YTHDC1	
LINC00235	
CAPN15	
NDUFA6-DT	
OLA1P1	
	PH_hs_0006430
CYP2D7	
CYP2D7	PH_hs_0032701
LINC02982	
NKD2	PH_hs_0029474
NKD2	PH_hs_0032267
CSPG4P10	
GOLGA6L9	
GOLGA6L9	PH_hs_0034375
GOLGA6L17P	
	PH_hs_0030178
	PH_hs_0035589
CYP2D8P	
GOLGA2P10	PH_hs_0038294
GOLGA2P10	
SLC12A7	PH_hs_0010326
SLC12A7	
LMNTD2	PH_hs_0019580
LMNTD2	
UBE2Q2P6	
TIMM22	PH_hs_0004919
ADAMTS7P1	
	PH_hs_0034157
NXN	
MUC4	PH_hs_0030528
MUC4	
GOLGA6L10	
MIR210HG	PH_hs_0021940
MIR210HG	
LINC00824	
GOLGA6L10	PH_hs_0034375
	PH_hs_0019621
RNH1	PH_hs_0022452
RNH1	
UBE2Q2P2	
MUC20	
MUC20	PH_hs_0004098
KIR2DP1	PH_hs_0039926
KIF26B	PH_hs_0020223
KIF26B	PH_hs_0007046
KIF26B	
RPL7AP55	
OR10A3	PH_hs_0033040
OR5P2	PH_hs_0017018
OR5E1P	PH_hs_0018692
OR5P3	PH_hs_0017019
OR10A6	
NLRP10	PH_hs_0026260
NLRP10	
	PH_hs_0026215
SERF1B	
SERF1B	PH_hs_0034050
	PH_hs_0028958
TARM1	PH_hs_0035237
CYP2D6	PH_hs_0038027
MBOAT7	PH_hs_0004540
NAIP	PH_hs_0027160
NAIP	
CNOT3	PH_hs_0016636
DRD4	PH_hs_0022242
DEAF1	PH_hs_0030150
DEAF1	
CLK2	PH_hs_0027678
CLK2	PH_hs_0031305
OR2AS2P	
OR2T6	
OR2T2	PH_hs_0035083
	PH_hs_0038027
OR2T4	
RDH13	PH_hs_0024089
IRF7	PH_hs_0010006
IRF7	
OR2T7	
OR2T1	
BDH1	PH_hs_0025347
BDH1	
OR2T3	
TSEN34	PH_hs_0001447
TSEN34	
OR2T5	
TMEM179	
TMEM179	PH_hs_0009030
VSTM1	
OR2W1	PH_hs_0013118
NOP56P1	
OR14J1	
TRIM27	PH_hs_0025781
TRIM27	
GP6	PH_hs_0029558
C14orf180	PH_hs_0009252
MCCC2	
PKLR	PH_hs_0005223
PKLR	
NLRP2	
LILRA4	
LILRA4	PH_hs_0024682
	PH_hs_0017190
HCG14	
HRAS	
HRAS	PH_hs_0031161
RPL13P	
	PH_hs_0034797
ZNF311	PH_hs_0008895
BDP1	PH_hs_0014092
BDP1	
PSMB1	
	PH_hs_0018348
FAM120B	PH_hs_0023939
FAM120B	
LENG1	
LINC01623	PH_hs_0033644
ICE2P1	
LINC01060	
LINC01015	PH_hs_0005511
OR2B3	
	PH_hs_0012075
LAIR1	PH_hs_0019448
LAIR1	
MTX1P1	
RPL7AP27	
SCAMP3	PH_hs_0011767
SCAMP3	
LST1	
DENND11	PH_hs_0028006
DENND11	PH_hs_0040889
DENND11	
LMNTD2-AS1	PH_hs_0007433
LMNTD2-AS1	
RASSF7	PH_hs_0004191
RASSF7	
NLRP7	PH_hs_0016956
	PH_hs_0001589
RPS9	PH_hs_0029205
RPS9	
PCGF7P	
ZNF729	
	PH_hs_0030649
ZNF676	PH_hs_0034764
ZNF676	
GBA	PH_hs_0030649
GBA	PH_hs_0034252
GBA	
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	
LILRA2	PH_hs_0031852
SSBP1	
SSBP1	PH_hs_0038958
DLL1	PH_hs_0024078
DLL1	
CDHR5	PH_hs_0009985
CDHR5	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	PH_hs_0016747
OR8U8	
OR8L1P	
OR5T3	
OR5T2	
LINC01624	PH_hs_0033721
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	
OR8H1	
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	PH_hs_0029643
SMN1	PH_hs_0032522
TFPT	PH_hs_0012780
OR2J3	
	PH_hs_0038340
HLA-H	
MICB	PH_hs_0012268
MICB	
LINC02197	
DEFB104B	PH_hs_0027391
AGK	
SERF1A	
SERF1A	PH_hs_0034050
DEFB105B	PH_hs_0028298
PRPF31	
PRR23D1	
WEE2	
DEFB4B	
FAM90A7	
LILRB1	PH_hs_0029696
LILRB1	PH_hs_0034863
LILRB1	
DEFB103B	PH_hs_0027343
DEFB108C	PH_hs_0031446
DEFB108C	PH_hs_0034087
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	PH_hs_0034312
NDUFA3	PH_hs_0029413
HCN3	PH_hs_0014716
HCN3	
DEFB107B	PH_hs_0028660
OR2U2P	
TRIM10	PH_hs_0014141
FAM90A6P	
SPAG11B	
SCT	
FAM189B	PH_hs_0029805
FAM189B	PH_hs_0032759
FAM189B	
PTDSS2	
PTDSS2	PH_hs_0001229
DEFB106B	PH_hs_0023083
MICG	
RNF39	PH_hs_0022348
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
MUC21	PH_hs_0033643
HCG15	
TRIM31-AS1	
TNF	PH_hs_0012958
OR11A1	PH_hs_0013119
LINC03015	
PRAMEF5	
FAM20C	
MOG	PH_hs_0008368
MOG	
LINC03014	
PRAMEF22	PH_hs_0033801
PRAMEF22	PH_hs_0036544
PRAMEF18	
BTG3-AS1	
BTG3	
PRAMEF8	
LILRA5	PH_hs_0026737
MBOAT7	
HNRNPCL2	PH_hs_0035138
RPS17P1	
OR5V1	PH_hs_0014168
PRAMEF25	
MICD	
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HNRNPCL4	
PRAMEF33	PH_hs_0033889
PRAMEF9	PH_hs_0033801
PRAMEF9	PH_hs_0036544
LY6G6F	PH_hs_0024745
LY6G6F	PH_hs_0033191
CYP2D6	
MYL6P5	
TMEM183AP1	
PSORS1C1	PH_hs_0038733
PSORS1C1	PH_hs_0021963
HLA-T	
HLA-DRA	PH_hs_0035922
PPP1R11	PH_hs_0004739
BTNL2	PH_hs_0013110
	PH_hs_0027046
TOMM40P4	PH_hs_0037868
CDRT15P3	PH_hs_0031815
	PH_hs_0031419
RPL7P4	
RPL7AP7	
LTB	PH_hs_0024260
NDUFA3	
CEACAM4	PH_hs_0000002
LINC01556	PH_hs_0033830
TMPOP1	
PSMB9	PH_hs_0018571
PSMB9	PH_hs_0033030
CEACAMP3	
PLEKHA3P1	
DNAJC19P2	
CEACAM21	PH_hs_0034670
CEACAM21	
LILRA3	PH_hs_0006240
LILRA3	
GOLGA6L24P	PH_hs_0037791
FAM189A1	PH_hs_0024361
FAM189A1	
ATP23	PH_hs_0003884
GABBR1	PH_hs_0010040
GABBR1	
RPS9	PH_hs_0038646
DNAJC19P3	
TPM3P5	
RNA5-8SN4	
LINC01480	
LINC01480	PH_hs_0008344
CEACAM7	
CEACAM7	PH_hs_0004248
PTPRN2	
MPHOSPH10P7	
IFITM4P	
LINC02403	
APBA2	
APBA2	PH_hs_0002333
GIHCG	
RN7SKP65	
LILRB2	PH_hs_0029696
LILRB2	PH_hs_0032593
LILRB2	
HLA-G	
KIR3DX1	
KIR3DX1	PH_hs_0029638
LILRA6	PH_hs_0026618
LILRA6	
ZFP57	PH_hs_0009433
OR2H5P	
OR5V1	
GPR53P	
OR2J2	
HLA-DRB9	
MSH5-SAPCD1	PH_hs_0022487
PHLDA2	PH_hs_0009265
CARS1	PH_hs_0023636
CARS1	
FAM138D	
IQSEC3	
CTSO	PH_hs_0004301
	PH_hs_0038088
HERC2	PH_hs_0025355
HERC2	
MROH5	PH_hs_0033838
SPPL2C	PH_hs_0008544
ASIC5	PH_hs_0018611
RPS7P11	
	PH_hs_0033416
	PH_hs_0007475
TDO2	
TDO2	PH_hs_0010828
MAS1LP1	
LINC01300	
HCG4	
DDX11L8	
SUMO2P1	
MDC1-AS1	
ZNRD1ASP	
ZNRD1ASP	PH_hs_0009237
ZNRD1ASP	PH_hs_0032578
HNRNPA1P38	
	PH_hs_0018293
PTP4A3	PH_hs_0003171
PTP4A3	
SLC39A11	
KANSL1-AS1	
TFPT	
WHAMMP2	PH_hs_0036949
WHAMMP2	PH_hs_0033244
IQSEC3-AS1	
	PH_hs_0039926
MAPK8IP1P2	
WASH8P	
NSFP1	
RPL32P1	
OR2J1	
SLC5A8	PH_hs_0028475
WNT3	PH_hs_0012570
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	
	PH_hs_0037204
GOLGA8G	PH_hs_0034231
GOLGA8G	PH_hs_0038299
GOLGA8G	PH_hs_0038671
GOLGA8G	
DHX16	
GPR20	PH_hs_0011064
DLGAP2	PH_hs_0029104
DND1P1	
ANO4	PH_hs_0022156
ARHGAP27	PH_hs_0031273
ARHGAP27	
ARHGAP27	PH_hs_0021821
ARHGAP27	PH_hs_0027981
APOM	PH_hs_0032289
MAMDC2-AS1	
MAMDC2	
HLA-K	
HSPA1B	PH_hs_0014155
HSPA1B	PH_hs_0028967
HSPA1B	PH_hs_0031321
HERC2P1	PH_hs_0036524
HSP90AA4P	
OCA2	
C4B_2	PH_hs_0031857
C4B_2	
RPH3AL-AS2	
RPH3AL-AS1	PH_hs_0003764
RPH3AL-AS1	
RPH3AL	
RPL5P32	
PDCD6IPP2	
ABCB10P4	
GOLGA8M	PH_hs_0032970
GOLGA8M	PH_hs_0037493
	PH_hs_0020416
NSMCE3	PH_hs_0026790
HERC2P9	
HERC2P9	PH_hs_0037653
RPL41P2	
GOLGA6L25P	
GOLGA8F	
GOLGA8F	PH_hs_0034231
GOLGA8F	PH_hs_0038299
GOLGA8F	PH_hs_0038671
OR2U1P	
LINC00533	
MUC2	PH_hs_0028681
MUC2	
MAPT-IT1	PH_hs_0019693
CHRFAM7A	PH_hs_0027395
CHRFAM7A	
APBA1	PH_hs_0000496
APBA1	PH_hs_0010294
APBA1	
APBA1	PH_hs_0038889
OR2H4P	
TRIM26BP	
SERPINF1	
WNT9B	
WNT9B	PH_hs_0023812
RPSAP2	
PPP1R10	PH_hs_0005905
PPP1R10	
SCARF1	PH_hs_0003701
SCARF1	
TTYH1	
TTYH1	PH_hs_0023319
TTYH1	PH_hs_0035729
MAPT-AS1	
LINC02210-CRHR1	
MAPK8IP1P1	
LRRC37A4P	
NDUFB9P1	
	PH_hs_0031958
NSF	PH_hs_0025223
NSF	
PRH2	
ARHGAP11A	PH_hs_0010330
TRBV11-1	
TAF9	PH_hs_0028926
TRBV7-6	
LINC02688	PH_hs_0020568
TRBV10-1	
TRBV5-2	
TRBV7-4	
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	
TRBV1	
TRBV19	
TAS2R19	PH_hs_0034927
TRBV12-4	
LINC02569	
TAS2R8	PH_hs_0014066
OR2J4P	
TRBV7-1	
HCG18	
TAS2R7	PH_hs_0014065
TRBV25-1	
LRRC37A2	
IGKV1D-8	
TRBV17	
IGKV3D-7	
TAS2R50	
TRBV5-3	
HNRNPA1P2	
TRBV7-9	
TAS2R43	
STK19	PH_hs_0000054
STK19	
TAS2R14	PH_hs_0022210
TRBV5-7	
IGKV1OR2-118	
TRBV27	
TAS2R9	PH_hs_0014067
TRBV7-2	
TRBV21-1	
TRPV5	PH_hs_0014632
TRPV5	
TAS2R45	PH_hs_0032502
TAS2R31	
TAS2R13	PH_hs_0014069
TAS2R13	PH_hs_0034814
RAD17	
RAD17	PH_hs_0001493
IGLV3-31	
TAS2R46	
KSR1P1	
IGLV1-40	
IGKV1OR10-1	
TAS2R20	PH_hs_0034186
PABPC1P8	
TAS2R15P	
OR2AD1P	
ASH2LP1	
MAS1L	PH_hs_0014477
PRR4	
PRR4	PH_hs_0039150
PRR4	PH_hs_0034344
IGLV3-30	
OR2H2	PH_hs_0030364
OR2H2	PH_hs_0033642
IGLV1-44	
IGLV3-32	
ATAT1	PH_hs_0027323
ATAT1	
ZNF280B	
ARMC10	PH_hs_0040371
ARMC10	
DDR1-DT	
NEU1	PH_hs_0006548
KCNQ1	
KCNQ1	PH_hs_0024049
IGLVI-38	
HCG17	
IGLV2-34	
IGLV5-37	
TRPM1	PH_hs_0022705
IGLV7-43	
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
PLEKHM1	PH_hs_0025124
PLEKHM1	PH_hs_0027981
PLEKHM1	
IGLV1-36	
ZNF280A	PH_hs_0010613
KCNQ1-AS1	PH_hs_0020225
TLCD2	
IGLV2-33	
NAP1L4	PH_hs_0023327
NAP1L4	PH_hs_0032385
NAP1L4	
IGLV5-45	
PRAME	
PRAME	PH_hs_0040655
WDR81	
WDR81	PH_hs_0023176
RPL23AP95	
DPY19L2P2	PH_hs_0033190
HLA-DQB1-AS1	
TRIM39	
TRIM39	PH_hs_0024948
MYOM2	PH_hs_0025915
MYOM2	
NLRP7	
MAPT	
SMIM10L1	PH_hs_0038984
TAS2R64P	
TAS2R10	
TAS2R63P	
TRBV12-5	
RPP21	PH_hs_0010813
RPP21	
TRBJ2-2P	
LY6G5C	PH_hs_0035720
LY6G5C	PH_hs_0027318
LY6G5C	
PRSS3P3	
TRBJ1-6	
TRBJ1-5	
TRBV11-2	
TRBV20-1	
CRHR1	PH_hs_0025074
CRHR1	
TRBV10-2	
LLCFC1	PH_hs_0012905
NAPEPLD	PH_hs_0034326
NAPEPLD	PH_hs_0040318
NAPEPLD	
TRBV9	
PRSS3P1	
TRBC1	PH_hs_0037979
TRBJ2-1	
HSPA1A	PH_hs_0028967
HSPA1A	PH_hs_0031321
LILRB5	PH_hs_0036171
LILRB5	
OR2P1P	
UBDP1	
HLA-F-AS1	
HLA-F-AS1	PH_hs_0032619
TRPV6	PH_hs_0015636
TRPV6	
HSPA1L	PH_hs_0004622
GPSM3	PH_hs_0014959
GPSM3	PH_hs_0025474
IGLV7-35	
SCGB1C2	PH_hs_0007277
C22orf15	
C22orf15	PH_hs_0006362
OR2I1P	
TSBP1-AS1	
HLA-B	
LINC02091	
KRT31	PH_hs_0028870
RXRB	PH_hs_0024444
RXRB	
RPH3AL	PH_hs_0025604
CABIN1	
SMARCB1	
SMARCB1	PH_hs_0026820
AZU1	PH_hs_0004182
TBC1D3P7	
SLC43A2	PH_hs_0016060
SLC43A2	
KRT33A	PH_hs_0034337
CRYZP1	
MICC	
LSM2	PH_hs_0005719
LSM2	
KRT37	
PRTN3	PH_hs_0000119
KRTAP16-1	PH_hs_0026417
KRT34	PH_hs_0029669
TRBV6-7	
KRTAP17-1	PH_hs_0015807
PRSS2	
KRT33B	PH_hs_0028848
TRBV7-3	
ZBED9	
TRBV18	
CCL4L2	PH_hs_0038113
CCL4L2	PH_hs_0039822
CCL4L2	
MOXD2P	
OR12D2	PH_hs_0013120
PLPPR3	
PRSS1	
PRSS1	PH_hs_0040453
KRT18P1	
PRRT1	PH_hs_0015578
PRRT1	
	PH_hs_0029669
ATP6V1G3	
MED16	
MED16	PH_hs_0029884
